Collection_Date,Processing_Date,Breed,Tag,New_Tag,Collar_Apr22,Tube,Notes
10/29/2022,11/3/2022,,Y43,Y35,,S042171,
12/8/2022,1/12/2023,Angus,,Y85,,S042178,
12/8/2022,1/12/2023,Angus,,Y37,,S042179,
12/8/2022,1/12/2023,Criollo,,Y36,,S042180,
10/29/2022,11/3/2022,,Y82,Y31,,S042181,
12/8/2022,1/12/2023,Criollo,,Y14,,S042187,
12/8/2022,1/12/2023,Criollo,,Y48,,S042188,
12/8/2022,1/12/2023,Criollo,,Y31,,S042189,
12/8/2022,1/12/2023,Criollo,,Y79,,S042190,
10/29/2022,11/3/2022,,Y153,Y27,,S042191,
12/8/2022,1/12/2023,Criollo,Y30,Y81,,S042197,
12/8/2022,1/12/2023,Criollo,,Y27,,S042198,
12/8/2022,1/12/2023,Angus,,Y86,,S042199,
12/8/2022,1/12/2023,Criollo,,Y30,,S042200,
10/29/2022,11/3/2022,Y43,Y45,Y39,,S042201,
12/8/2022,1/12/2023,Angus,,Y33,,S042207,
12/8/2022,1/12/2023,Criollo,,Y35,,S042208,
12/8/2022,1/12/2023,Angus,,Y82,,S042209,
12/8/2022,1/12/2023,Criollo,B,Y28,,S042210,
10/29/2022,11/3/2022,,R23,Y38,,S042211,
12/8/2022,1/12/2023,Criollo,,Y80,,S042217,
12/8/2022,1/12/2023,Angus,,Y87,,S042218,
12/8/2022,1/12/2023,Criollo,,Y49,,S042219,
12/8/2022,1/12/2023,Criollo,,Y47,,S042220,
10/29/2022,11/3/2022,,R213,Y40,,S042221,
12/8/2022,1/12/2023,Angus,R5,Y42,,S042227,
12/8/2022,1/12/2023,Criollo,,Y41,,S042228,
12/8/2022,1/12/2023,Criollo,,Y43,,S042229,
12/8/2022,1/12/2023,Angus,,Y83,,S042230,
10/29/2022,11/3/2022,,R21,Y45,,S042231,
12/8/2022,1/12/2023,Angus,,Y78,,S042237,
12/8/2022,1/12/2023,Angus,G1,Y46,,S042238,
12/8/2022,1/12/2023,Criollo,,Y50,,S042239,
10/29/2022,11/3/2022,,B,Y28,,S042240,
10/29/2022,11/3/2022,,Y713,Y47,,S042241,
12/8/2022,1/12/2023,Criollo,,Y88,,S042247,
12/8/2022,1/12/2023,Criollo,,Y36,,S042248,
12/8/2022,1/12/2023,Criollo,,Y26,,S042249,
10/29/2022,11/3/2022,,Y4,Y29,,S042250,
10/29/2022,11/3/2022,,Y113,Y88,,S042251,
4/7/2022,4/11/2022,Angus,R31,,,,no sample
4/7/2022,4/11/2022,Criollo,Y103,,,,small sample
