Product Type: Litetrack LR
Product ID: 80342
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
11/9/2021 3:30:34 AM,38.5378538,-109.5105669,1356.17,30,23.0,1.4,7,GPS Schedule
11/9/2021 3:40:11 AM,38.5378930,-109.5107005,1363.56,11,20.5,2.8,6,GPS Schedule
11/9/2021 3:50:15 AM,38.5379294,-109.5104462,1347.24,15,19.0,1.4,7,GPS Schedule
11/9/2021 4:00:01 AM,38.5379258,-109.5105617,1371.83,1,17.0,1.4,7,GPS Schedule
11/9/2021 4:10:02 AM,38.5379207,-109.5104654,1340.44,2,16.0,2.4,6,GPS Schedule
11/9/2021 4:20:01 AM,38.5378899,-109.5106189,1373.62,1,14.5,2.2,6,GPS Schedule
11/9/2021 4:30:04 AM,38.5379789,-109.5108337,1398.12,4,13.5,1.4,7,GPS Schedule
11/9/2021 4:40:02 AM,38.5378589,-109.5106154,1349.04,2,12.5,2,6,GPS Schedule
11/9/2021 4:50:05 AM,38.5379122,-109.5105491,1359.27,5,11.5,1.8,6,GPS Schedule
11/9/2021 5:00:02 AM,38.5378682,-109.5104521,1328.49,2,11.0,1.6,6,GPS Schedule
11/9/2021 5:10:02 AM,38.5379176,-109.5105766,1347.28,2,10.5,1.6,6,GPS Schedule
11/9/2021 5:20:20 AM,38.5379037,-109.5106482,1373.29,20,10.5,1.4,7,GPS Schedule
11/9/2021 5:30:01 AM,38.5379466,-109.5104971,1348.06,1,10.0,1.6,6,GPS Schedule
11/9/2021 5:40:36 AM,38.5378616,-109.5105251,1347.07,36,11.0,1.2,7,GPS Schedule
11/9/2021 5:50:00 AM,38.5379172,-109.5104884,1332.90,1,10.5,1.6,6,GPS Schedule
11/9/2021 6:00:02 AM,38.5378066,-109.5105268,1353.13,2,10.0,1.4,6,GPS Schedule
11/9/2021 6:10:06 AM,38.5379173,-109.5105976,1352.14,6,10.0,1.6,6,GPS Schedule
11/9/2021 6:20:02 AM,38.5380917,-109.5105005,1340.68,2,10.0,2.2,5,GPS Schedule
11/9/2021 6:30:11 AM,38.5386304,-109.5105681,1374.72,11,9.5,2.4,5,GPS Schedule
11/9/2021 6:40:36 AM,38.5378784,-109.5104960,1327.06,36,9.0,1.4,6,GPS Schedule
11/9/2021 6:50:01 AM,38.5378762,-109.5104595,1349.84,1,8.0,1.2,6,GPS Schedule
11/9/2021 7:00:02 AM,38.5379400,-109.5105068,1332.93,2,7.5,1.2,6,GPS Schedule
11/9/2021 7:10:04 AM,38.5378922,-109.5105955,1362.06,4,7.0,1.2,6,GPS Schedule
11/9/2021 7:20:27 AM,38.5382001,-109.5106050,1397.79,27,7.0,1.4,6,GPS Schedule
11/9/2021 7:30:00 AM,38.5379202,-109.5105086,1342.11,1,6.5,2.4,5,GPS Schedule
11/9/2021 7:40:00 AM,38.5379139,-109.5107297,1363.85,1,6.0,2.4,5,GPS Schedule
11/9/2021 7:50:04 AM,38.5378571,-109.5105100,1328.44,4,6.0,2,5,GPS Schedule
11/9/2021 8:00:00 AM,38.5378139,-109.5105761,1384.20,1,5.5,1.8,5,GPS Schedule
11/9/2021 8:10:04 AM,38.5380041,-109.5107605,1404.24,4,5.0,1.6,6,GPS Schedule
11/9/2021 8:20:05 AM,38.5379732,-109.5106255,1363.61,5,4.5,1.8,6,GPS Schedule
11/9/2021 8:30:36 AM,38.5379272,-109.5104933,1347.55,36,5.0,1.4,5,GPS Schedule
11/9/2021 8:40:00 AM,38.5379331,-109.5103614,1313.02,1,4.5,1.4,5,GPS Schedule
11/9/2021 8:50:00 AM,38.5379875,-109.5104098,1310.25,1,4.0,1.4,5,GPS Schedule
11/9/2021 9:00:02 AM,38.5379133,-109.5105170,1335.04,2,4.0,1.2,5,GPS Schedule
11/9/2021 9:10:01 AM,38.5379631,-109.5105350,1318.46,1,4.0,1.2,5,GPS Schedule
11/9/2021 9:20:05 AM,38.5379260,-109.5105152,1325.25,5,4.0,2.2,4,GPS Schedule
11/9/2021 9:30:34 AM,38.5379565,-109.5104765,1320.99,34,4.5,3,5,GPS Schedule
11/9/2021 9:40:13 AM,38.5379518,-109.5105539,1334.49,13,4.0,4,4,GPS Schedule
11/9/2021 9:50:34 AM,38.5379075,-109.5105104,1351.90,34,4.0,1.6,7,GPS Schedule
11/9/2021 10:00:13 AM,38.5378789,-109.5105537,1351.08,13,4.0,1.6,7,GPS Schedule
11/9/2021 10:10:01 AM,38.5379624,-109.5104474,1365.12,1,4.0,2.8,5,GPS Schedule
11/9/2021 10:20:01 AM,38.5378699,-109.5105012,1317.02,1,4.0,1.6,6,GPS Schedule
11/9/2021 10:30:01 AM,38.5378299,-109.5105001,1298.52,1,3.5,1.6,6,GPS Schedule
11/9/2021 10:40:01 AM,38.5378392,-109.5105010,1337.35,1,3.5,3,5,GPS Schedule
11/9/2021 10:50:03 AM,38.5379209,-109.5105523,1362.88,3,3.5,1.4,6,GPS Schedule
11/9/2021 11:00:03 AM,38.5378844,-109.5104906,1359.93,3,3.5,1.4,6,GPS Schedule
11/9/2021 11:10:01 AM,38.5378769,-109.5104176,1340.11,1,3.5,1.8,5,GPS Schedule
11/9/2021 11:20:05 AM,38.5378575,-109.5105676,1352.45,5,3.0,1.8,6,GPS Schedule
11/9/2021 11:30:02 AM,38.5378899,-109.5106496,1363.98,2,3.5,2.4,6,GPS Schedule
11/9/2021 11:40:33 AM,38.5379787,-109.5104839,1343.59,33,3.5,1.2,6,GPS Schedule
11/9/2021 11:50:13 AM,38.5379191,-109.5104553,1335.84,13,3.5,1,6,GPS Schedule
11/9/2021 12:00:03 PM,38.5379188,-109.5104915,1335.88,3,3.0,1,6,GPS Schedule
11/9/2021 12:10:03 PM,38.5394736,-109.5111960,1554.12,3,2.5,4,5,GPS Schedule
11/9/2021 12:20:13 PM,38.5383016,-109.5107005,1399.69,13,3.0,6.4,5,GPS Schedule
11/9/2021 12:30:02 PM,38.5379301,-109.5106743,1371.23,2,2.5,4,5,GPS Schedule
11/9/2021 12:40:33 PM,38.5379036,-109.5105390,1354.05,33,3.0,1,7,GPS Schedule
11/9/2021 12:50:11 PM,38.5379484,-109.5104933,1349.42,11,2.5,1.6,6,GPS Schedule
11/9/2021 1:00:14 PM,38.5378247,-109.5105066,1345.79,14,3.0,1.6,6,GPS Schedule
11/9/2021 1:10:02 PM,38.5379302,-109.5105359,1353.56,2,3.0,1.4,6,GPS Schedule
11/9/2021 1:20:01 PM,38.5379357,-109.5105411,1344.76,1,3.0,2,5,GPS Schedule
11/9/2021 1:30:01 PM,38.5378415,-109.5106946,1372.33,1,2.5,2,5,GPS Schedule
11/9/2021 1:40:01 PM,38.5378885,-109.5107486,1378.63,1,3.0,2,5,GPS Schedule
11/9/2021 1:50:04 PM,38.5378946,-109.5105874,1345.67,4,3.0,1,6,GPS Schedule
11/9/2021 2:00:02 PM,38.5378498,-109.5107716,1367.97,2,3.5,2.2,5,GPS Schedule
11/9/2021 2:10:02 PM,38.5379699,-109.5105030,1336.79,2,3.5,3,4,GPS Schedule
11/9/2021 2:20:35 PM,38.5378787,-109.5105606,1352.70,35,4.5,1.2,7,GPS Schedule
11/9/2021 2:30:01 PM,38.5379246,-109.5103992,1346.31,1,4.0,1.6,5,GPS Schedule
11/9/2021 2:40:03 PM,38.5378953,-109.5105149,1345.58,3,4.5,1.2,7,GPS Schedule
11/9/2021 2:50:02 PM,38.5379520,-109.5104940,1345.70,2,4.5,1.2,7,GPS Schedule
11/9/2021 3:00:01 PM,38.5378359,-109.5105802,1361.89,1,5.0,2.6,5,GPS Schedule
11/9/2021 3:10:05 PM,38.5377709,-109.5105548,1356.50,5,5.0,2.8,5,GPS Schedule
11/9/2021 3:20:01 PM,38.5378663,-109.5104273,1389.74,1,5.5,2.4,5,GPS Schedule
11/9/2021 3:30:04 PM,38.5379276,-109.5105732,1368.37,4,6.0,2,5,GPS Schedule
11/9/2021 3:40:04 PM,38.5377422,-109.5105674,1365.31,4,6.0,1.8,5,GPS Schedule
11/9/2021 3:50:02 PM,38.5377286,-109.5106097,1392.90,2,7.0,1.6,5,GPS Schedule
11/9/2021 4:00:02 PM,38.5378009,-109.5104827,1378.00,2,7.5,3,4,GPS Schedule
11/9/2021 4:10:34 PM,38.5378952,-109.5106534,1363.25,34,8.5,1.6,5,GPS Schedule
11/9/2021 4:20:13 PM,38.5378752,-109.5105836,1345.16,13,8.5,2.6,4,GPS Schedule
11/9/2021 4:30:36 PM,38.5379183,-109.5105194,1342.37,36,9.0,2,6,GPS Schedule
11/9/2021 4:40:02 PM,38.5378695,-109.5104762,1336.34,2,9.0,1.8,6,GPS Schedule
11/9/2021 4:50:04 PM,38.5378217,-109.5106331,1347.81,4,10.0,1.6,6,GPS Schedule
11/9/2021 5:00:04 PM,38.5379194,-109.5105575,1353.46,4,11.5,1.4,6,GPS Schedule
11/9/2021 5:10:02 PM,38.5379221,-109.5107302,1383.58,2,14.0,2.6,5,GPS Schedule
11/9/2021 5:20:05 PM,38.5378803,-109.5109499,1410.26,5,15.5,1.4,6,GPS Schedule
11/9/2021 5:30:04 PM,38.5378146,-109.5106727,1392.14,4,16.0,1.4,6,GPS Schedule
11/9/2021 5:40:05 PM,38.5380597,-109.5101776,1382.05,5,16.5,3,4,GPS Schedule
11/9/2021 5:50:35 PM,38.5378881,-109.5105066,1351.40,35,18.0,1.4,7,GPS Schedule
11/9/2021 6:00:04 PM,38.5378451,-109.5105485,1357.39,4,17.5,1.4,7,GPS Schedule
11/9/2021 6:10:01 PM,38.5378654,-109.5104811,1349.74,1,17.5,1.6,6,GPS Schedule
11/9/2021 6:20:01 PM,38.5378211,-109.5106527,1360.74,1,17.5,1.6,5,GPS Schedule
11/9/2021 6:30:04 PM,38.5378417,-109.5107815,1394.78,4,18.0,1.4,6,GPS Schedule
11/9/2021 6:40:01 PM,38.5378712,-109.5105885,1358.56,1,17.5,2,5,GPS Schedule
11/9/2021 6:50:04 PM,38.5379195,-109.5106137,1385.54,4,17.5,2.4,5,GPS Schedule
11/9/2021 7:00:03 PM,38.5378484,-109.5105701,1358.53,3,18.0,1.8,5,GPS Schedule
11/9/2021 7:11:03 PM,38.5381164,-109.5105887,1422.30,63,21.0,1.4,6,GPS Schedule
11/9/2021 7:20:13 PM,38.5370756,-109.5076625,333.08,13,20.0,2.6,4,GPS Schedule
11/9/2021 7:31:03 PM,38.5378260,-109.5105307,1353.63,63,21.0,2,5,GPS Schedule
11/9/2021 7:40:03 PM,38.5378560,-109.5105199,1355.87,3,20.5,2.4,4,GPS Schedule
11/9/2021 7:51:06 PM,38.5404017,-109.5066160,10.78,70,20.5,2.6,4,GPS Schedule
11/9/2021 8:00:52 PM,38.5378737,-109.5105428,1350.20,49,20.0,2.6,5,GPS Schedule
11/9/2021 8:10:05 PM,38.5379634,-109.5104222,1342.51,5,19.5,2.6,5,GPS Schedule
11/9/2021 8:20:35 PM,38.5379735,-109.5104884,1337.88,35,20.0,2,6,GPS Schedule
11/9/2021 8:30:02 PM,38.5378888,-109.5104800,1336.85,2,19.0,2,5,GPS Schedule
11/9/2021 8:40:01 PM,38.5379221,-109.5104825,1346.66,1,19.0,1.8,6,GPS Schedule
11/9/2021 8:50:01 PM,38.5378726,-109.5104895,1343.92,1,18.5,1.6,6,GPS Schedule
11/9/2021 9:00:03 PM,38.5379198,-109.5105296,1346.97,3,18.0,1.6,6,GPS Schedule
11/9/2021 9:10:02 PM,38.5379317,-109.5105613,1353.34,2,18.0,1.6,5,GPS Schedule
11/9/2021 9:20:04 PM,38.5379772,-109.5106052,1355.03,4,17.5,1.6,5,GPS Schedule
