Product Type: Litetrack LR
Product ID: 80341
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,Voltage,DOP,Satellites,Cause of Fix
6/6/2021 9:10:33 PM,38.5640432,-109.5392998,1235.75,31,40.5,0.0,1.2,8,GPS Schedule
6/6/2021 9:20:17 PM,38.5640005,-109.5393431,1233.68,15,44.5,0.0,1.2,8,GPS Schedule
6/6/2021 9:30:19 PM,38.5640559,-109.5392981,1225.95,16,46.0,0.0,1.4,6,GPS Schedule
6/6/2021 9:40:01 PM,38.5640629,-109.5392297,1244.22,2,46.0,0.0,1.4,6,GPS Schedule
6/6/2021 9:50:01 PM,38.5641002,-109.5392834,1272.72,1,46.5,0.0,1.8,5,GPS Schedule
6/6/2021 10:00:02 PM,38.5637708,-109.5402768,1562.42,3,46.5,0.0,2.6,5,GPS Schedule
6/6/2021 10:10:05 PM,38.5640606,-109.5393929,1265.40,5,47.5,0.0,1.8,6,GPS Schedule
6/6/2021 10:20:01 PM,38.5640795,-109.5393462,1243.52,2,47.5,0.0,2.6,5,GPS Schedule
6/6/2021 10:30:03 PM,38.5640890,-109.5393075,1237.39,4,47.5,0.0,3.2,6,GPS Schedule
6/6/2021 10:40:36 PM,38.5639300,-109.5393124,1237.08,36,47.5,0.0,2.4,6,GPS Schedule
6/6/2021 10:50:02 PM,38.5639440,-109.5393124,1238.33,2,46.5,0.0,2.6,6,GPS Schedule
6/6/2021 11:00:03 PM,38.5639105,-109.5392778,1246.20,3,46.0,0.0,2.4,6,GPS Schedule
6/6/2021 11:10:04 PM,38.5639657,-109.5392845,1233.71,4,45.5,0.0,2.2,6,GPS Schedule
6/6/2021 11:20:04 PM,38.5640361,-109.5392998,1235.12,4,45.0,0.0,2.2,5,GPS Schedule
6/6/2021 11:30:00 PM,38.5639373,-109.5393668,1216.81,1,44.0,0.0,2.4,5,GPS Schedule
6/6/2021 11:40:00 PM,38.5640413,-109.5392423,1253.66,1,44.0,0.0,3.2,5,GPS Schedule
