Product Type: Litetrack LR
Product ID: 80335
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,Voltage,DOP,Satellites,Cause of Fix
6/6/2021 8:50:52 PM,38.5640029,-109.5392513,1239.76,50,47.0,0.0,1.4,6,GPS Schedule
6/6/2021 9:00:03 PM,38.5640138,-109.5392503,1183.69,1,47.5,0.0,1.8,5,GPS Schedule
6/6/2021 9:10:05 PM,38.5640884,-109.5393200,1248.70,3,48.0,0.0,1.4,6,GPS Schedule
6/6/2021 9:20:06 PM,38.5640784,-109.5392845,1243.68,3,48.0,0.0,1.4,6,GPS Schedule
6/6/2021 9:30:02 PM,38.5640258,-109.5392628,1238.17,3,47.5,0.0,1.4,5,GPS Schedule
6/6/2021 9:40:00 PM,38.5642007,-109.5392695,1236.27,1,46.5,0.0,1.4,5,GPS Schedule
6/6/2021 9:50:01 PM,38.5640473,-109.5392419,1235.18,2,46.5,0.0,1.4,5,GPS Schedule
6/6/2021 10:00:04 PM,38.5640836,-109.5392883,1242.95,4,46.0,0.0,1.8,5,GPS Schedule
6/6/2021 10:10:04 PM,38.5640401,-109.5392489,1236.18,5,46.0,0.0,2.4,4,GPS Schedule
6/6/2021 10:20:34 PM,38.5640730,-109.5393030,1241.22,35,46.5,0.0,0.8,9,GPS Schedule
6/6/2021 10:30:04 PM,38.5640574,-109.5392928,1235.37,4,47.0,0.0,1,8,GPS Schedule
6/6/2021 10:40:00 PM,38.5639374,-109.5393068,1228.02,1,48.0,0.0,1.8,7,GPS Schedule
6/6/2021 10:50:00 PM,38.5639638,-109.5392953,1233.97,1,48.5,0.0,1.2,8,GPS Schedule
6/6/2021 11:00:04 PM,38.5640147,-109.5392984,1241.32,4,48.5,0.0,0.8,9,GPS Schedule
6/6/2021 11:10:00 PM,38.5640044,-109.5392921,1234.73,1,48.0,0.0,1.2,8,GPS Schedule
6/6/2021 11:20:00 PM,38.5640686,-109.5392810,1220.97,1,47.5,0.0,1.6,6,GPS Schedule
6/6/2021 11:30:04 PM,38.5639906,-109.5393312,1217.41,4,46.5,0.0,1.2,7,GPS Schedule
6/6/2021 11:40:00 PM,38.5640477,-109.5392241,1275.22,1,45.5,0.0,2.6,6,GPS Schedule
6/6/2021 11:50:00 PM,38.5639896,-109.5393493,1238.39,1,44.0,0.0,1.6,5,GPS Schedule
6/7/2021 12:00:02 AM,38.5640098,-109.5393113,1229.17,2,43.5,0.0,1.4,7,GPS Schedule
6/7/2021 12:10:00 AM,38.5640170,-109.5393350,1218.54,1,42.5,0.0,2.8,6,GPS Schedule
6/7/2021 12:20:02 AM,38.5640664,-109.5392444,1243.75,2,41.5,0.0,1.2,7,GPS Schedule
6/7/2021 12:30:36 AM,38.5640465,-109.5393214,1236.89,36,41.5,0.0,1,10,GPS Schedule
