Product Type: Litetrack LR
Product ID: 80345
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,Voltage,DOP,Satellites,Cause of Fix
6/6/2021 9:20:35 PM,38.5640128,-109.5393316,1238.38,33,15.5,0.0,1.4,7,GPS Schedule
6/6/2021 9:30:03 PM,38.5638240,-109.5393110,1235.79,2,15.5,0.0,3.2,4,GPS Schedule
6/6/2021 9:40:35 PM,38.5641343,-109.5393431,1245.52,33,15.5,0.0,1.2,7,GPS Schedule
6/6/2021 9:50:05 PM,38.5640086,-109.5392496,1229.34,3,15.5,0.0,1.6,6,GPS Schedule
6/6/2021 10:00:05 PM,38.5640215,-109.5393277,1240.36,3,15.5,0.0,1.2,7,GPS Schedule
6/6/2021 10:10:04 PM,38.5640133,-109.5393037,1231.89,2,15.5,0.0,3.6,5,GPS Schedule
6/6/2021 10:20:02 PM,38.5640025,-109.5392876,1239.81,1,15.5,0.0,1.6,5,GPS Schedule
6/6/2021 10:30:07 PM,38.5642927,-109.5392262,1242.71,5,15.5,0.0,1.4,6,GPS Schedule
6/6/2021 10:40:06 PM,38.5641933,-109.5393058,1235.70,5,15.5,0.0,5,6,GPS Schedule
6/6/2021 10:50:34 PM,38.5639565,-109.5393092,1236.59,33,15.5,0.0,1.2,8,GPS Schedule
6/6/2021 11:00:05 PM,38.5639937,-109.5392914,1237.82,3,15.5,0.0,1.2,8,GPS Schedule
6/6/2021 11:10:06 PM,38.5641108,-109.5392503,1234.35,4,15.5,0.0,1.2,8,GPS Schedule
6/6/2021 11:20:04 PM,38.5640293,-109.5392552,1240.89,2,15.5,0.0,2,6,GPS Schedule
6/6/2021 11:30:03 PM,38.5640939,-109.5393323,1241.52,1,15.5,0.0,1.2,7,GPS Schedule
6/6/2021 11:40:02 PM,38.5640218,-109.5392984,1241.94,1,15.5,0.0,1.4,7,GPS Schedule
6/6/2021 11:50:04 PM,38.5640134,-109.5392967,1230.27,2,15.5,0.0,1.4,7,GPS Schedule
6/7/2021 12:00:02 AM,38.5641112,-109.5392855,1261.56,1,15.5,0.0,1.4,7,GPS Schedule
6/7/2021 12:10:06 AM,38.5641111,-109.5393455,1250.35,4,15.5,0.0,1.4,7,GPS Schedule
6/7/2021 12:20:02 AM,38.5640842,-109.5391167,1270.13,1,15.5,0.0,2.4,6,GPS Schedule
6/7/2021 12:30:02 AM,38.5640608,-109.5392391,1252.55,1,15.5,0.0,2.6,6,GPS Schedule
6/7/2021 12:40:04 AM,38.5640680,-109.5392628,1241.91,2,15.5,0.0,3,6,GPS Schedule
6/7/2021 12:50:03 AM,38.5640763,-109.5393023,1245.57,2,15.5,0.0,3.6,6,GPS Schedule
6/7/2021 1:00:34 AM,38.5640395,-109.5393368,1231.45,33,15.5,0.0,1.8,8,GPS Schedule
6/7/2021 1:10:19 AM,38.5640602,-109.5393424,1243.01,17,15.5,0.0,1.8,8,GPS Schedule
6/7/2021 1:20:03 AM,38.5638958,-109.5392343,1224.18,1,15.5,0.0,3,5,GPS Schedule
6/7/2021 1:30:06 AM,38.5641238,-109.5393438,1240.56,4,15.5,0.0,2,7,GPS Schedule
6/7/2021 1:40:03 AM,38.5640111,-109.5393131,1240.22,2,15.5,0.0,1.8,7,GPS Schedule
6/7/2021 1:50:03 AM,38.5642011,-109.5393047,1263.49,1,15.5,0.0,3,5,GPS Schedule
6/7/2021 2:00:11 AM,38.5639810,-109.5393615,1229.97,9,15.5,0.0,2.4,5,GPS Schedule
6/7/2021 2:10:10 AM,38.5640255,-109.5393145,1233.40,8,15.5,0.0,2,5,GPS Schedule
6/7/2021 2:20:03 AM,38.5639635,-109.5393469,1229.20,2,15.5,0.0,1.8,5,GPS Schedule
6/7/2021 2:30:02 AM,38.5640217,-109.5393207,1238.74,1,15.5,0.0,1.6,5,GPS Schedule
6/7/2021 2:40:05 AM,38.5640078,-109.5393068,1234.25,3,15.5,0.0,1.4,5,GPS Schedule
6/7/2021 2:50:29 AM,38.5640796,-109.5392524,1219.45,27,15.5,0.0,1.4,5,GPS Schedule
6/7/2021 3:00:05 AM,38.5639845,-109.5392855,1250.34,4,15.5,0.0,3,4,GPS Schedule
6/7/2021 3:10:36 AM,38.5640728,-109.5393099,1242.85,34,15.5,0.0,1,8,GPS Schedule
6/7/2021 3:20:04 AM,38.5640516,-109.5393169,1242.60,2,15.5,0.0,1,8,GPS Schedule
6/7/2021 3:30:02 AM,38.5640756,-109.5392880,1223.22,1,15.5,0.0,2.4,6,GPS Schedule
6/7/2021 3:40:02 AM,38.5641444,-109.5392625,1229.67,0,15.5,0.0,2.2,6,GPS Schedule
6/7/2021 3:50:03 AM,38.5639337,-109.5393438,1223.72,1,15.5,0.0,1.8,6,GPS Schedule
6/7/2021 4:00:02 AM,38.5639479,-109.5393214,1228.17,0,15.5,0.0,1.6,6,GPS Schedule
6/7/2021 4:10:02 AM,38.5639168,-109.5392259,1232.49,0,15.5,0.0,1.4,6,GPS Schedule
6/7/2021 4:20:04 AM,38.5640254,-109.5392991,1238.22,3,15.5,0.0,1,7,GPS Schedule
6/7/2021 4:30:07 AM,38.5640429,-109.5393138,1238.99,5,15.5,0.0,2.6,5,GPS Schedule
6/7/2021 4:40:02 AM,38.5642229,-109.5391914,1228.37,1,15.5,0.0,11.6,4,GPS Schedule
6/7/2021 4:50:33 AM,38.5639474,-109.5393493,1234.65,32,15.5,0.0,1.2,7,GPS Schedule
6/7/2021 5:00:16 AM,38.5639631,-109.5393525,1238.88,15,15.5,0.0,3.4,5,GPS Schedule
6/7/2021 5:10:16 AM,38.5641765,-109.5392625,1316.64,15,15.5,0.0,2,5,GPS Schedule
6/7/2021 5:20:16 AM,38.5640694,-109.5392799,1248.14,15,15.5,0.0,1.4,6,GPS Schedule
6/7/2021 5:30:16 AM,38.5640279,-109.5392758,1226.65,15,15.5,0.0,1.4,6,GPS Schedule
6/7/2021 5:40:16 AM,38.5640326,-109.5393075,1232.40,15,15.5,0.0,1.4,6,GPS Schedule
6/7/2021 5:50:16 AM,38.5640213,-109.5393263,1248.43,15,15.5,0.0,3,5,GPS Schedule
6/7/2021 6:00:16 AM,38.5640563,-109.5392618,1225.90,15,15.5,0.0,2.2,5,GPS Schedule
6/7/2021 6:10:16 AM,38.5640528,-109.5392695,1223.18,15,15.5,0.0,2,5,GPS Schedule
6/7/2021 6:20:16 AM,38.5640273,-109.5392883,1237.96,15,15.5,0.0,2,5,GPS Schedule
6/7/2021 6:30:16 AM,38.5639610,-109.5392304,1231.15,15,15.5,0.0,2.4,5,GPS Schedule
6/7/2021 6:40:16 AM,38.5640113,-109.5392991,1236.97,15,15.5,0.0,3,5,GPS Schedule
6/7/2021 6:50:16 AM,38.5641441,-109.5393364,1221.70,15,15.5,0.0,4.2,5,GPS Schedule
6/7/2021 7:00:34 AM,38.5640468,-109.5393005,1232.03,33,15.5,0.0,0.8,9,GPS Schedule
6/7/2021 7:10:16 AM,38.5640588,-109.5393253,1236.78,15,15.5,0.0,1.4,7,GPS Schedule
6/7/2021 7:20:16 AM,38.5640536,-109.5393145,1235.90,15,15.5,0.0,0.8,9,GPS Schedule
6/7/2021 7:30:16 AM,38.5640380,-109.5392890,1234.86,15,15.5,0.0,1.6,6,GPS Schedule
6/7/2021 7:40:16 AM,38.5640527,-109.5392541,1228.00,15,15.5,0.0,1.6,5,GPS Schedule
6/7/2021 7:50:16 AM,38.5640142,-109.5393417,1242.98,15,15.5,0.0,1.6,6,GPS Schedule
6/7/2021 8:00:19 AM,38.5640416,-109.5393120,1227.95,17,15.5,0.0,2,5,GPS Schedule
6/7/2021 8:10:04 AM,38.5640533,-109.5393131,1243.96,2,15.5,0.0,2.2,5,GPS Schedule
6/7/2021 8:20:10 AM,38.5640874,-109.5392667,1242.42,8,15.5,0.0,2,5,GPS Schedule
6/7/2021 8:30:04 AM,38.5640273,-109.5393413,1225.13,2,15.5,0.0,1.8,5,GPS Schedule
6/7/2021 8:40:04 AM,38.5640712,-109.5394128,1214.20,2,15.5,0.0,1.8,5,GPS Schedule
6/7/2021 8:50:03 AM,38.5640840,-109.5393734,1212.42,1,15.5,0.0,2,5,GPS Schedule
6/7/2021 9:00:03 AM,38.5642663,-109.5396681,1223.93,2,15.5,0.0,2.4,5,GPS Schedule
6/7/2021 9:10:36 AM,38.5640096,-109.5393030,1235.61,34,15.5,0.0,1,8,GPS Schedule
6/7/2021 9:20:05 AM,38.5640554,-109.5393106,1237.26,3,15.5,0.0,1,8,GPS Schedule
6/7/2021 9:30:07 AM,38.5640416,-109.5393120,1227.95,5,15.5,0.0,1,8,GPS Schedule
6/7/2021 9:40:03 AM,38.5639556,-109.5393581,1247.94,1,15.5,0.0,2.2,5,GPS Schedule
6/7/2021 9:50:03 AM,38.5641865,-109.5392918,1231.83,1,15.5,0.0,2.6,5,GPS Schedule
6/7/2021 10:00:03 AM,38.5639693,-109.5392852,1229.99,1,15.5,0.0,3,5,GPS Schedule
6/7/2021 10:10:03 AM,38.5640873,-109.5393420,1226.40,2,15.5,0.0,3.2,5,GPS Schedule
6/7/2021 10:20:03 AM,38.5641797,-109.5393717,1252.03,1,15.5,0.0,3.2,5,GPS Schedule
6/7/2021 10:30:03 AM,38.5640201,-109.5393483,1226.13,2,15.5,0.0,3,5,GPS Schedule
6/7/2021 10:40:03 AM,38.5639836,-109.5394711,1226.40,2,15.5,0.0,4,4,GPS Schedule
6/7/2021 10:50:33 AM,38.5640135,-109.5392744,1233.47,32,15.5,0.0,2.4,5,GPS Schedule
6/7/2021 11:00:22 AM,38.5639797,-109.5393221,1226.94,20,15.5,0.0,3,5,GPS Schedule
6/7/2021 11:10:03 AM,38.5638895,-109.5394299,1204.22,2,15.5,0.0,2.6,4,GPS Schedule
6/7/2021 11:20:33 AM,38.5639972,-109.5393214,1232.53,32,15.5,0.0,1.2,7,GPS Schedule
6/7/2021 11:30:19 AM,38.5639533,-109.5393183,1225.81,17,15.5,0.0,1.2,7,GPS Schedule
6/7/2021 11:40:02 AM,38.5640819,-109.5392391,1254.42,1,15.5,0.0,1.2,7,GPS Schedule
6/7/2021 11:50:03 AM,38.5637856,-109.5393354,1217.07,2,15.5,0.0,1.8,6,GPS Schedule
6/7/2021 12:00:03 PM,38.5640042,-109.5393591,1225.14,2,15.5,0.0,1.6,6,GPS Schedule
6/7/2021 12:10:03 PM,38.5640553,-109.5393483,1229.24,1,15.5,0.0,1.6,5,GPS Schedule
6/7/2021 12:20:03 PM,38.5639718,-109.5393985,1183.12,1,15.5,0.0,1.4,5,GPS Schedule
6/7/2021 12:30:03 PM,38.5640657,-109.5393699,1231.01,1,15.5,0.0,1.4,5,GPS Schedule
6/7/2021 12:40:07 PM,38.5640391,-109.5393200,1244.33,5,15.5,0.0,1.4,6,GPS Schedule
6/7/2021 12:50:05 PM,38.5640363,-109.5392928,1233.50,3,15.5,0.0,1.4,6,GPS Schedule
6/7/2021 1:00:03 PM,38.5641622,-109.5398181,1228.79,2,15.5,0.0,1.6,5,GPS Schedule
6/7/2021 1:10:03 PM,38.5640715,-109.5396855,1231.80,2,15.5,0.0,1.8,5,GPS Schedule
