Cow,Start,End,Steps,Motion Index,Lying Time,Standing Time,Transitions,Transitions Up,Transitions Down
AngusB102,2022-03-15 12:30:00,2022-03-15 12:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 12:45:00,2022-03-15 13:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 13:00:00,2022-03-15 13:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 13:15:00,2022-03-15 13:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 13:30:00,2022-03-15 13:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 13:45:00,2022-03-15 14:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 14:00:00,2022-03-15 14:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 14:15:00,2022-03-15 14:30:00,0,19,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 14:30:00,2022-03-15 14:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 14:45:00,2022-03-15 15:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 15:00:00,2022-03-15 15:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 15:15:00,2022-03-15 15:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 15:30:00,2022-03-15 15:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 15:45:00,2022-03-15 16:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 16:00:00,2022-03-15 16:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 16:15:00,2022-03-15 16:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 16:30:00,2022-03-15 16:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 16:45:00,2022-03-15 17:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 17:00:00,2022-03-15 17:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 17:15:00,2022-03-15 17:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 17:30:00,2022-03-15 17:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 17:45:00,2022-03-15 18:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 18:00:00,2022-03-15 18:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 18:15:00,2022-03-15 18:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 18:30:00,2022-03-15 18:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 18:45:00,2022-03-15 19:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 19:00:00,2022-03-15 19:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 19:15:00,2022-03-15 19:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 19:30:00,2022-03-15 19:45:00,0,1,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 19:45:00,2022-03-15 20:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 20:00:00,2022-03-15 20:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 20:15:00,2022-03-15 20:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 20:30:00,2022-03-15 20:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 20:45:00,2022-03-15 21:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 21:00:00,2022-03-15 21:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 21:15:00,2022-03-15 21:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 21:30:00,2022-03-15 21:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 21:45:00,2022-03-15 22:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 22:00:00,2022-03-15 22:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-15 22:15:00,2022-03-15 22:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 08:45:00,2022-03-16 09:00:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 09:00:00,2022-03-16 09:15:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 09:15:00,2022-03-16 09:30:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 09:30:00,2022-03-16 09:45:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 09:45:00,2022-03-16 10:00:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 10:00:00,2022-03-16 10:15:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 10:15:00,2022-03-16 10:30:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 10:30:00,2022-03-16 10:45:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 10:45:00,2022-03-16 11:00:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 11:00:00,2022-03-16 11:15:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 11:15:00,2022-03-16 11:30:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 11:30:00,2022-03-16 11:45:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 11:45:00,2022-03-16 12:00:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 12:00:00,2022-03-16 12:15:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 12:15:00,2022-03-16 12:30:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 12:30:00,2022-03-16 12:45:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 12:45:00,2022-03-16 13:00:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 13:00:00,2022-03-16 13:15:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 13:15:00,2022-03-16 13:30:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 13:30:00,2022-03-16 13:45:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 13:45:00,2022-03-16 14:00:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 14:00:00,2022-03-16 14:15:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 14:15:00,2022-03-16 14:30:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 14:30:00,2022-03-16 14:45:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 14:45:00,2022-03-16 15:00:00,0,0,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 15:00:00,2022-03-16 15:15:00,0,19,0:08:48,0:06:12,1,0,1
AngusB102,2022-03-16 15:15:00,2022-03-16 15:30:00,0,36,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 15:30:00,2022-03-16 15:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 15:45:00,2022-03-16 16:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 16:00:00,2022-03-16 16:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 16:15:00,2022-03-16 16:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 16:30:00,2022-03-16 16:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 16:45:00,2022-03-16 17:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 17:00:00,2022-03-16 17:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 17:15:00,2022-03-16 17:30:00,0,1,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 17:30:00,2022-03-16 17:45:00,2,13,0:10:26,0:04:34,2,1,1
AngusB102,2022-03-16 17:45:00,2022-03-16 18:00:00,0,5,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 18:00:00,2022-03-16 18:15:00,0,4,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 18:15:00,2022-03-16 18:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 18:30:00,2022-03-16 18:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 18:45:00,2022-03-16 19:00:00,0,4,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 19:00:00,2022-03-16 19:15:00,81,435,0:03:22,0:11:38,1,1,0
AngusB102,2022-03-16 19:15:00,2022-03-16 19:30:00,166,1155,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 19:30:00,2022-03-16 19:45:00,241,1387,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 19:45:00,2022-03-16 20:00:00,46,301,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 20:00:00,2022-03-16 20:15:00,40,165,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 20:15:00,2022-03-16 20:30:00,241,1107,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 20:30:00,2022-03-16 20:45:00,185,938,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 20:45:00,2022-03-16 21:00:00,58,268,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 21:00:00,2022-03-16 21:15:00,47,182,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 21:15:00,2022-03-16 21:30:00,105,454,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 21:30:00,2022-03-16 21:45:00,239,1012,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 21:45:00,2022-03-16 22:00:00,183,936,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 22:00:00,2022-03-16 22:15:00,185,790,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 22:15:00,2022-03-16 22:30:00,52,217,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 22:30:00,2022-03-16 22:45:00,56,273,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-16 22:45:00,2022-03-16 23:00:00,20,98,0:09:35,0:05:25,1,0,1
AngusB102,2022-03-16 23:00:00,2022-03-16 23:15:00,0,0,0:15:00,0:00:00,0,0,0
