tag_no,new_tag,breed,date,collar_id,ped_id,weight,BCS,old_lotek_collar,notes
Y68,Y43,Criollo,6/14/2022,,,,,,
Y148,Y44,Criollo,6/14/2022,40147,,,,,
R21,Y45,Angus,6/14/2022,,,,,,
G1,Y46,Angus,6/14/2022,,,,,,
Y103,Y47,Criollo,6/14/2022,,,,,,
Y701,Y48,Criollo,6/14/2022,,,,,,
Y34,Y49,Criollo,6/14/2022,,,,,,
Y05,Y50,Criollo,6/14/2022,40098,,,,,
R4,Y76,Angus,6/14/2022,,,,,,
B102,Y77,Angus,6/14/2022,,,,,,
G9,Y78,Angus,6/14/2022,,,,,,
Y38,Y79,Criollo,6/14/2022,,,,,,
,Y80,Criollo,6/14/2022,,,,,,
Y30,Y81,Criollo,6/14/2022,,,,,,
R3,Y82,Angus,6/14/2022,,,,,,
R30,Y83,Angus,6/14/2022,,,,,,
R13,Y84,Angus,6/14/2022,,,,,,
R31,Y85,Angus,6/14/2022,42177,,,,,
R17,Y86,Angus,6/14/2022,40033,,,,,
Y99,Y87,Angus,6/14/2022,,,,,,
Y113,Y88,Criollo,6/14/2022,,,,,,
G5,,Angus,6/14/2022,,,,,,
P16,,Angus,6/14/2022,39972,,,,,
R16,,Angus,6/14/2022,39953,,,,,
R18,,Angus,6/14/2022,,,,,,
W01,,Criollo,6/14/2022,,,,,,
Y17,,Criollo,6/14/2022,,,,,,
Y703,Y26,Criollo,10/29/2022,80355,90000050,894,7,,
Y153,Y27,Criollo,10/29/2022,80345,90006241,830,7,,
B,Y28,Criollo,10/29/2022,80333,90001217,722,7,,
Y4,Y29,Criollo,10/29/2022,80342,90000188,815,7,,
Y30,Y30,Criollo,10/29/2022,80351,90001761,794,7,,
Y82,Y31,Criollo,10/29/2022,80337,90001408,764,7,,
R46,Y32,Angus,10/29/2022,80347,90001464,1190,7,,
R9,Y33,Angus,10/29/2022,80338,90006464,1650,7,,pregnant?
R32,Y34,Angus,10/29/2022,80346,90000557,1280,7,,
Y43,Y35,Criollo,10/29/2022,80334,90001737,664,6,,
Y148,Y36,Criollo,10/29/2022,80348,90000099,720,7,,
R256,Y37,Angus,10/29/2022,80344,90004935,1280,7,,
R23,Y38,Angus,10/29/2022,80339,90000486,1330,7,,
Y45,Y39,Criollo,10/29/2022,80349,90001653,796,7,,
R213,Y40,Angus,10/29/2022,80332,90002578,948,7,,
Y115,Y41,Criollo,10/29/2022,51000,90001161,744,7,,
R5,Y42,Angus,10/29/2022,80341,90001409,1200,7,,
Y68,Y43,Criollo,10/29/2022,40367,,686,7,,
Y148,Y44,Criollo,10/29/2022,42755,,848,7,,
R21,Y45,Angus,10/29/2022,80350,90004934,1155,7,,
G1,Y46,Angus,10/29/2022,80343,90001423,1585,7,,
Y103,Y47,Criollo,10/29/2022,39935,,830,7,,collar not working?
Y701,Y48,Criollo,10/29/2022,40437,,856,7,,
Y34,Y49,Criollo,10/29/2022,40922,,922,7,,
Y05,Y50,Criollo,10/29/2022,40306,,960,7,,
R4,Y76,Angus,10/29/2022,39922,90003820,1500,7,,
B102,Y77,Angus,10/29/2022,40179,,1305,7,,
G9,Y78,Angus,10/29/2022,42027,,940,7,,
Y38,Y79,Criollo,10/29/2022,40300,,804,Y,,
,Y80,Criollo,10/29/2022,45089,,746,7,,
Y30,Y81,Criollo,10/29/2022,40249,,762,7,,
R3,Y82,Angus,10/29/2022,39917,,1155,7,,
R30,Y83,Angus,10/29/2022,42705,,1335,7,,
R13,Y84,Angus,10/29/2022,40125,,1180,7,,
R31,Y85,Angus,10/29/2022,39907,,1155,7,,
R17,Y86,Angus,10/29/2022,45523,,1325,7,,collar maybe died?
Y99,Y87,Angus,10/29/2022,47498,,1445,7,,
Y113,Y88,Criollo,10/29/2022,44856,,890,7,,
G5,,Angus,10/29/2022,,,,,,
P16,,Angus,10/29/2022,,,,,,
R16,,Angus,10/29/2022,40209,,1175,7,,
R18,,Angus,10/29/2022,,,,,,
W01,,Criollo,10/29/2022,,,,,,
Y17,,Criollo,10/29/2022,,,,,,
Y703,Y26,Criollo,12/8/2022,,,850,7,,
Y153,Y27,Criollo,12/8/2022,,,800,7,,
B,Y28,Criollo,12/8/2022,,,696,7,,
Y4,Y29,Criollo,12/8/2022,,,736,7,,
Y30,Y30,Criollo,12/8/2022,,,760,7,,
Y82,Y31,Criollo,12/8/2022,,,783,7,,
R46,Y32,Angus,12/8/2022,,,,,,
R9,Y33,Angus,12/8/2022,,,1570,7,,
R32,Y34,Angus,12/8/2022,,,,,,
Y43,Y35,Criollo,12/8/2022,,,694,7,,
Y148,Y36,Criollo,12/8/2022,,,928,7,,
R256,Y37,Angus,12/8/2022,,,1125,7,,
R23,Y38,Angus,12/8/2022,,,,,,
Y45,Y39,Criollo,12/8/2022,,,724,7,,
R213,Y40,Angus,12/8/2022,,,985,6,,
Y115,Y41,Criollo,12/8/2022,,,750,7,,
R5,Y42,Angus,12/8/2022,,,1240,7,,
Y68,Y43,Criollo,12/8/2022,,,678,7,,
Y148,Y44,Criollo,12/8/2022,,,848,7,,
R21,Y45,Angus,12/8/2022,,,1250,7,,
G1,Y46,Angus,12/8/2022,,,1585,7,,
Y103,Y47,Criollo,12/8/2022,,,834,7,,
Y701,Y48,Criollo,12/8/2022,,,786,7,,
