Product Type: Litetrack LR
Product ID: 80335
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
11/9/2021 3:20:34 AM,38.5378911,-109.5105268,1360.60,31,23.0,1.8,6,GPS Schedule
11/9/2021 3:30:03 AM,38.5378720,-109.5105926,1334.38,2,20.5,2,5,GPS Schedule
11/9/2021 3:40:02 AM,38.5379273,-109.5105239,1337.91,2,18.5,2,5,GPS Schedule
11/9/2021 3:50:03 AM,38.5379308,-109.5105163,1340.63,2,17.5,2,5,GPS Schedule
11/9/2021 4:00:03 AM,38.5378999,-109.5105453,1359.39,3,15.5,2.2,5,GPS Schedule
11/9/2021 4:10:02 AM,38.5378915,-109.5104906,1360.56,2,14.5,2.2,5,GPS Schedule
11/9/2021 4:20:04 AM,38.5378284,-109.5107396,1383.80,3,13.5,2.2,5,GPS Schedule
11/9/2021 4:30:10 AM,38.5373537,-109.5108625,1387.37,10,12.5,13,4,GPS Schedule
11/9/2021 4:40:33 AM,38.5377912,-109.5105557,1331.20,33,12.0,2,6,GPS Schedule
11/9/2021 4:50:13 AM,38.5379170,-109.5104647,1344.16,12,11.0,1.8,6,GPS Schedule
11/9/2021 5:00:01 AM,38.5378972,-109.5104339,1310.00,1,10.0,2,5,GPS Schedule
11/9/2021 5:10:01 AM,38.5380817,-109.5104427,1338.86,1,9.5,1.6,6,GPS Schedule
11/9/2021 5:20:04 AM,38.5378843,-109.5105658,1343.90,4,9.5,1.6,6,GPS Schedule
11/9/2021 5:30:01 AM,38.5379300,-109.5105428,1355.18,1,9.5,1.6,6,GPS Schedule
11/9/2021 5:40:01 AM,38.5379694,-109.5105309,1343.27,1,10.0,1.6,6,GPS Schedule
11/9/2021 5:50:04 AM,38.5380026,-109.5105710,1345.07,3,10.0,1.6,6,GPS Schedule
11/9/2021 6:00:06 AM,38.5380167,-109.5105863,1341.50,6,10.0,2.6,5,GPS Schedule
11/9/2021 6:10:02 AM,38.5376930,-109.5105144,1373.78,2,9.0,2.8,5,GPS Schedule
11/9/2021 6:20:08 AM,38.5377270,-109.5103998,1389.90,8,9.0,4,4,GPS Schedule
11/9/2021 6:30:35 AM,38.5378446,-109.5105131,1330.17,34,8.5,1.6,6,GPS Schedule
