Product Type: Litetrack LR
Product ID: 80332
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
11/9/2021 3:30:35 AM,38.5379063,-109.5104794,1342.44,30,23.0,1.8,6,GPS Schedule
11/9/2021 3:40:00 AM,38.5379182,-109.5105111,1348.81,1,21.0,1.8,6,GPS Schedule
11/9/2021 3:50:01 AM,38.5379228,-109.5105721,1352.98,2,19.0,1.8,6,GPS Schedule
11/9/2021 4:00:01 AM,38.5379189,-109.5104692,1339.08,2,17.5,1.8,6,GPS Schedule
11/9/2021 4:10:02 AM,38.5378498,-109.5106025,1359.94,2,16.0,1.6,6,GPS Schedule
11/9/2021 4:20:00 AM,38.5377829,-109.5106804,1386.93,1,15.5,3,5,GPS Schedule
11/9/2021 4:30:00 AM,38.5378602,-109.5105079,1340.84,1,14.5,2.6,5,GPS Schedule
11/9/2021 4:40:01 AM,38.5379187,-109.5104832,1342.32,2,13.5,2.2,5,GPS Schedule
11/9/2021 4:50:53 AM,38.5378699,-109.5105645,1350.72,53,13.5,2.6,5,GPS Schedule
11/9/2021 5:00:03 AM,38.5378550,-109.5104971,1339.96,3,12.0,2.6,5,GPS Schedule
11/9/2021 5:10:01 AM,38.5378953,-109.5105149,1345.58,2,11.5,2.4,5,GPS Schedule
11/9/2021 5:20:00 AM,38.5380526,-109.5104283,1314.02,1,11.5,2.4,5,GPS Schedule
11/9/2021 5:30:00 AM,38.5378749,-109.5105892,1354.85,1,11.0,2.2,5,GPS Schedule
11/9/2021 5:40:01 AM,38.5379867,-109.5104740,1316.78,2,11.5,2.2,5,GPS Schedule
11/9/2021 5:50:03 AM,38.5379100,-109.5105962,1359.58,3,11.5,2.2,5,GPS Schedule
11/9/2021 6:00:09 AM,38.5377453,-109.5103023,1345.62,10,11.5,3,4,GPS Schedule
11/9/2021 6:10:33 AM,38.5378868,-109.5104978,1338.73,34,11.5,1.6,5,GPS Schedule
11/9/2021 6:20:10 AM,38.5378913,-109.5105658,1344.53,11,10.5,1.4,5,GPS Schedule
11/9/2021 6:30:12 AM,38.5378647,-109.5105760,1346.64,13,10.5,1.8,4,GPS Schedule
11/9/2021 6:40:33 AM,38.5379347,-109.5105030,1333.67,34,10.0,1.4,6,GPS Schedule
11/9/2021 6:50:10 AM,38.5378844,-109.5105588,1342.28,11,9.0,1.2,6,GPS Schedule
11/9/2021 7:00:10 AM,38.5378798,-109.5106140,1358.97,11,8.5,2.2,5,GPS Schedule
11/9/2021 7:10:12 AM,38.5378786,-109.5105676,1354.32,12,8.0,2,5,GPS Schedule
11/9/2021 7:20:01 AM,38.5379126,-109.5106221,1378.47,2,8.0,2.2,5,GPS Schedule
11/9/2021 7:30:38 AM,38.5379612,-109.5105854,1363.68,39,8.0,2.4,5,GPS Schedule
11/9/2021 7:40:01 AM,38.5379873,-109.5105725,1377.69,2,7.0,2.4,5,GPS Schedule
11/9/2021 7:50:01 AM,38.5379005,-109.5105257,1346.46,2,7.0,2,5,GPS Schedule
11/9/2021 8:00:02 AM,38.5379147,-109.5105034,1350.91,3,6.5,1.8,5,GPS Schedule
11/9/2021 8:10:02 AM,38.5379529,-109.5106552,1379.27,3,6.0,1.8,5,GPS Schedule
11/9/2021 8:20:01 AM,38.5378776,-109.5105755,1328.78,2,5.5,2,5,GPS Schedule
11/9/2021 8:30:02 AM,38.5379279,-109.5106052,1350.67,3,5.0,2.2,5,GPS Schedule
11/9/2021 8:40:02 AM,38.5379137,-109.5106122,1351.05,3,5.0,2.8,5,GPS Schedule
11/9/2021 8:50:08 AM,38.5381672,-109.5108802,1354.22,9,5.0,3.4,5,GPS Schedule
11/9/2021 9:00:33 AM,38.5379303,-109.5105442,1347.12,34,5.5,1.2,7,GPS Schedule
11/9/2021 9:10:10 AM,38.5379243,-109.5104661,1336.72,11,5.0,3,5,GPS Schedule
11/9/2021 9:20:12 AM,38.5378742,-109.5105302,1338.89,12,5.0,1.4,6,GPS Schedule
11/9/2021 9:30:03 AM,38.5379883,-109.5105474,1355.08,3,5.0,1.6,6,GPS Schedule
11/9/2021 9:40:01 AM,38.5379552,-109.5105073,1353.28,1,4.5,2.6,5,GPS Schedule
11/9/2021 9:50:01 AM,38.5379109,-109.5105251,1351.43,2,5.0,2.4,5,GPS Schedule
11/9/2021 10:00:00 AM,38.5379303,-109.5105595,1342.30,1,4.5,2.4,5,GPS Schedule
11/9/2021 10:10:01 AM,38.5379022,-109.5105219,1347.82,1,5.0,2.4,5,GPS Schedule
11/9/2021 10:20:00 AM,38.5379611,-109.5106383,1350.85,1,4.5,2.2,5,GPS Schedule
11/9/2021 10:30:04 AM,38.5379048,-109.5104539,1342.65,5,4.5,1.8,5,GPS Schedule
11/9/2021 10:40:02 AM,38.5378976,-109.5105445,1321.18,3,4.5,1.4,5,GPS Schedule
11/9/2021 10:50:33 AM,38.5379193,-109.5105422,1358.28,34,5.0,1.2,7,GPS Schedule
11/9/2021 11:00:10 AM,38.5378875,-109.5105944,1346.67,11,4.5,1.6,5,GPS Schedule
11/9/2021 11:10:12 AM,38.5378889,-109.5105586,1365.73,12,4.5,1.2,7,GPS Schedule
11/9/2021 11:20:00 AM,38.5380485,-109.5109029,1359.54,1,4.5,2,5,GPS Schedule
11/9/2021 11:30:00 AM,38.5380020,-109.5106365,1343.54,1,4.0,1.4,6,GPS Schedule
11/9/2021 11:40:04 AM,38.5379026,-109.5106171,1363.82,5,4.0,1.2,7,GPS Schedule
11/9/2021 11:50:01 AM,38.5378422,-109.5104906,1356.19,2,3.5,1.2,6,GPS Schedule
11/9/2021 12:00:05 PM,38.5378369,-109.5106489,1363.34,5,3.5,1.2,7,GPS Schedule
11/9/2021 12:10:02 PM,38.5378439,-109.5106405,1370.41,3,3.5,1.6,5,GPS Schedule
11/9/2021 12:20:01 PM,38.5378411,-109.5105840,1361.15,2,3.5,2,4,GPS Schedule
11/9/2021 12:30:35 PM,38.5379036,-109.5105543,1349.23,35,3.5,1.2,7,GPS Schedule
11/9/2021 12:40:02 PM,38.5379105,-109.5105460,1356.29,2,3.5,1,7,GPS Schedule
11/9/2021 12:50:05 PM,38.5379167,-109.5105010,1344.20,5,3.5,1.2,6,GPS Schedule
11/9/2021 1:00:02 PM,38.5379472,-109.5104776,1335.13,2,3.5,1.2,6,GPS Schedule
11/9/2021 1:10:01 PM,38.5378453,-109.5105568,1350.95,2,3.5,1.4,6,GPS Schedule
11/9/2021 1:20:04 PM,38.5378989,-109.5105003,1346.68,4,3.5,1.4,6,GPS Schedule
11/9/2021 1:30:03 PM,38.5378424,-109.5106457,1360.98,3,3.5,1.2,6,GPS Schedule
11/9/2021 1:40:00 PM,38.5376965,-109.5105903,1354.03,1,4.0,1.8,5,GPS Schedule
11/9/2021 1:50:01 PM,38.5379187,-109.5105138,1332.69,2,4.0,1.8,5,GPS Schedule
11/9/2021 2:00:01 PM,38.5379185,-109.5104902,1343.94,2,4.0,1.8,5,GPS Schedule
11/9/2021 2:10:03 PM,38.5379179,-109.5105251,1352.05,4,4.0,2.2,4,GPS Schedule
11/9/2021 2:20:33 PM,38.5378749,-109.5106045,1350.03,34,5.0,1.2,7,GPS Schedule
11/9/2021 2:30:10 PM,38.5379268,-109.5105365,1349.22,11,5.0,1.2,7,GPS Schedule
11/9/2021 2:40:13 PM,38.5379391,-109.5105404,1349.10,13,5.0,1.2,7,GPS Schedule
11/9/2021 2:50:01 PM,38.5378824,-109.5105766,1344.16,2,5.0,1.2,7,GPS Schedule
11/9/2021 3:00:02 PM,38.5380021,-109.5104674,1335.51,2,5.5,1.2,6,GPS Schedule
11/9/2021 3:10:01 PM,38.5378814,-109.5106018,1366.77,2,5.5,2.8,5,GPS Schedule
11/9/2021 3:20:36 PM,38.5379097,-109.5104940,1341.96,36,6.5,2.6,5,GPS Schedule
11/9/2021 3:30:01 PM,38.5378546,-109.5105028,1349.64,2,6.0,2.6,5,GPS Schedule
11/9/2021 3:40:33 PM,38.5379125,-109.5105282,1354.41,34,7.0,2.2,5,GPS Schedule
11/9/2021 3:50:13 PM,38.5379111,-109.5105111,1348.19,13,7.0,2,5,GPS Schedule
11/9/2021 4:00:00 PM,38.5376943,-109.5106343,1458.66,1,7.5,1.6,5,GPS Schedule
11/9/2021 4:10:01 PM,38.5379419,-109.5105114,1327.85,2,8.0,1.6,5,GPS Schedule
11/9/2021 4:20:05 PM,38.5379148,-109.5105118,1344.47,5,8.0,1.6,5,GPS Schedule
11/9/2021 4:30:02 PM,38.5379540,-109.5106453,1351.85,3,8.5,2.6,4,GPS Schedule
11/9/2021 4:40:33 PM,38.5379090,-109.5105359,1351.69,34,9.5,1.8,6,GPS Schedule
11/9/2021 4:50:12 PM,38.5379450,-109.5106255,1361.12,13,10.0,1.6,6,GPS Schedule
11/9/2021 5:00:00 PM,38.5378944,-109.5106014,1348.91,1,11.5,3.4,5,GPS Schedule
11/9/2021 5:10:02 PM,38.5378689,-109.5105264,1339.63,3,13.5,2.6,5,GPS Schedule
11/9/2021 5:20:01 PM,38.5378704,-109.5105365,1344.23,2,15.5,2.2,5,GPS Schedule
11/9/2021 5:30:01 PM,38.5379557,-109.5105100,1337.16,2,16.0,2,5,GPS Schedule
11/9/2021 5:40:00 PM,38.5378733,-109.5104170,1343.83,1,16.5,2,5,GPS Schedule
11/9/2021 5:50:54 PM,38.5379009,-109.5104672,1349.61,54,18.5,1.6,6,GPS Schedule
11/9/2021 6:00:01 PM,38.5377189,-109.5102812,1296.33,2,18.0,4.6,5,GPS Schedule
11/9/2021 6:10:01 PM,38.5378530,-109.5106311,1362.71,2,18.0,1.6,6,GPS Schedule
