Product Type: Litetrack LR
Product ID: 80347
Firmware Version: V8.107.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
11/9/2021 3:50:33 AM,38.5378642,-109.5105885,1357.94,29,22.0,2,5,GPS Schedule
11/9/2021 4:00:12 AM,38.5378455,-109.5105275,1352.52,12,18.5,2,6,GPS Schedule
11/9/2021 4:10:02 AM,38.5379046,-109.5104985,1336.26,2,16.5,2,6,GPS Schedule
11/9/2021 4:20:02 AM,38.5379396,-109.5105125,1342.62,2,15.0,2.6,5,GPS Schedule
11/9/2021 4:30:01 AM,38.5376715,-109.5105334,1323.81,1,14.0,2.4,5,GPS Schedule
11/9/2021 4:40:01 AM,38.5378123,-109.5106259,1368.39,1,13.0,2.2,5,GPS Schedule
11/9/2021 4:50:04 AM,38.5378994,-109.5106039,1356.24,4,12.0,1.8,6,GPS Schedule
11/9/2021 5:00:03 AM,38.5380434,-109.5105386,1347.40,3,11.0,2,5,GPS Schedule
11/9/2021 5:10:02 AM,38.5379537,-109.5104748,1351.88,2,10.5,2,5,GPS Schedule
11/9/2021 5:20:01 AM,38.5378767,-109.5106640,1385.09,1,10.0,1.6,6,GPS Schedule
11/9/2021 5:30:05 AM,38.5381131,-109.5105019,1334.48,5,10.5,2,5,GPS Schedule
11/9/2021 5:40:01 AM,38.5381072,-109.5104800,1356.16,1,10.0,2.2,5,GPS Schedule
11/9/2021 5:50:01 AM,38.5381134,-109.5104656,1334.44,1,10.5,2.4,5,GPS Schedule
11/9/2021 6:00:35 AM,38.5378406,-109.5105028,1348.39,35,11.0,1.4,6,GPS Schedule
11/9/2021 6:10:01 AM,38.5380333,-109.5103715,1326.35,1,10.0,1.6,5,GPS Schedule
11/9/2021 6:20:02 AM,38.5378903,-109.5105910,1367.14,2,10.0,1.4,5,GPS Schedule
11/9/2021 6:30:04 AM,38.5379153,-109.5106000,1358.85,4,9.0,1.4,5,GPS Schedule
11/9/2021 6:40:03 AM,38.5379278,-109.5105746,1360.31,3,8.5,1.6,5,GPS Schedule
11/9/2021 6:50:01 AM,38.5379890,-109.5106063,1371.04,1,8.0,1.6,5,GPS Schedule
11/9/2021 7:00:03 AM,38.5379205,-109.5105579,1372.56,3,7.5,1.6,5,GPS Schedule
11/9/2021 7:10:05 AM,38.5380745,-109.5105505,1365.54,5,7.0,1.6,5,GPS Schedule
11/9/2021 7:20:07 AM,38.5379456,-109.5105753,1357.83,7,6.5,3.4,4,GPS Schedule
11/9/2021 7:30:33 AM,38.5379399,-109.5106077,1358.62,33,6.5,2.4,5,GPS Schedule
11/9/2021 7:40:14 AM,38.5379282,-109.5105537,1355.44,14,6.5,2.4,5,GPS Schedule
11/9/2021 7:50:33 AM,38.5378594,-109.5105568,1352.19,33,6.0,0.8,7,GPS Schedule
11/9/2021 8:00:12 AM,38.5378541,-109.5105530,1352.93,12,5.5,1.8,5,GPS Schedule
11/9/2021 8:10:02 AM,38.5379200,-109.5105532,1335.71,2,5.0,1.4,5,GPS Schedule
11/9/2021 8:20:01 AM,38.5378823,-109.5105154,1363.44,1,4.5,1.4,5,GPS Schedule
11/9/2021 8:30:01 AM,38.5379281,-109.5104445,1336.20,1,4.5,1.2,5,GPS Schedule
11/9/2021 8:40:04 AM,38.5379053,-109.5105728,1347.39,4,4.0,1,6,GPS Schedule
11/9/2021 8:50:04 AM,38.5379362,-109.5105131,1338.27,4,4.0,1.4,5,GPS Schedule
11/9/2021 9:00:04 AM,38.5379274,-109.5105017,1341.11,4,4.0,1.2,5,GPS Schedule
11/9/2021 9:10:01 AM,38.5379100,-109.5107430,1370.81,1,4.0,1,6,GPS Schedule
11/9/2021 9:20:04 AM,38.5379539,-109.5106147,1361.48,4,4.0,1.8,5,GPS Schedule
11/9/2021 9:30:35 AM,38.5378914,-109.5105811,1339.71,35,4.0,1,7,GPS Schedule
11/9/2021 9:40:02 AM,38.5378628,-109.5105714,1351.72,2,3.5,2.2,6,GPS Schedule
11/9/2021 9:50:01 AM,38.5379364,-109.5104532,1349.49,1,3.5,1.8,6,GPS Schedule
11/9/2021 10:00:02 AM,38.5378952,-109.5105525,1337.56,2,4.0,1.6,6,GPS Schedule
11/9/2021 10:10:03 AM,38.5379106,-109.5105766,1346.66,3,4.0,1.6,6,GPS Schedule
11/9/2021 10:20:04 AM,38.5379436,-109.5106103,1407.87,4,3.5,1.4,7,GPS Schedule
11/9/2021 10:30:03 AM,38.5379059,-109.5105073,1348.92,3,3.5,1.6,6,GPS Schedule
11/9/2021 10:40:02 AM,38.5378968,-109.5105404,1345.36,2,3.5,1.4,6,GPS Schedule
11/9/2021 10:50:02 AM,38.5379035,-109.5105307,1360.49,2,3.5,1.4,6,GPS Schedule
11/9/2021 11:00:35 AM,38.5379076,-109.5105188,1345.46,35,4.0,1.2,7,GPS Schedule
11/9/2021 11:10:01 AM,38.5379047,-109.5107392,1371.55,1,3.5,1.4,6,GPS Schedule
11/9/2021 11:20:01 AM,38.5380104,-109.5103600,1327.93,1,3.5,2.6,5,GPS Schedule
11/9/2021 11:30:05 AM,38.5378989,-109.5106694,1354.71,5,3.5,1.2,7,GPS Schedule
11/9/2021 11:40:03 AM,38.5378380,-109.5105554,1358.39,3,3.5,1.2,7,GPS Schedule
11/9/2021 11:50:03 AM,38.5378475,-109.5104944,1355.46,3,3.0,3.6,5,GPS Schedule
11/9/2021 12:00:33 PM,38.5378785,-109.5105746,1355.94,33,3.0,0.8,9,GPS Schedule
11/9/2021 12:10:11 PM,38.5379370,-109.5105498,1357.42,11,2.5,1.4,5,GPS Schedule
11/9/2021 12:20:19 PM,38.5379405,-109.5105575,1355.33,19,2.5,0.8,8,GPS Schedule
11/9/2021 12:30:02 PM,38.5378791,-109.5105550,1343.02,2,2.5,1.2,7,GPS Schedule
11/9/2021 12:40:01 PM,38.5379202,-109.5105393,1332.47,1,2.5,1,7,GPS Schedule
11/9/2021 12:50:02 PM,38.5379138,-109.5105676,1357.44,2,2.0,1.2,6,GPS Schedule
11/9/2021 1:00:04 PM,38.5379062,-109.5104863,1344.06,4,2.5,1.2,7,GPS Schedule
11/9/2021 1:10:02 PM,38.5379089,-109.5104746,1370.96,2,2.5,1.4,6,GPS Schedule
11/9/2021 1:20:02 PM,38.5378830,-109.5105264,1340.87,2,3.0,1.4,6,GPS Schedule
11/9/2021 1:30:02 PM,38.5379396,-109.5105125,1342.62,2,3.0,1.8,5,GPS Schedule
11/9/2021 1:40:01 PM,38.5378386,-109.5106674,1361.51,1,3.0,1.8,5,GPS Schedule
11/9/2021 1:50:03 PM,38.5377347,-109.5104128,1420.93,3,3.0,1.8,5,GPS Schedule
11/9/2021 2:00:04 PM,38.5377962,-109.5106437,1369.03,4,3.5,1.2,6,GPS Schedule
11/9/2021 2:10:33 PM,38.5379289,-109.5105271,1340.89,33,4.0,1.4,6,GPS Schedule
11/9/2021 2:20:12 PM,38.5378879,-109.5105359,1349.82,12,4.0,2.2,5,GPS Schedule
11/9/2021 2:30:01 PM,38.5378735,-109.5106028,1338.98,1,4.0,2.2,5,GPS Schedule
11/9/2021 2:40:01 PM,38.5377883,-109.5105457,1368.53,1,4.5,1.8,5,GPS Schedule
11/9/2021 2:50:03 PM,38.5379514,-109.5105818,1340.97,3,4.5,1.2,6,GPS Schedule
11/9/2021 3:00:02 PM,38.5378676,-109.5105879,1362.28,2,5.0,1.6,5,GPS Schedule
11/9/2021 3:10:03 PM,38.5379431,-109.5105374,1388.67,3,5.5,3,4,GPS Schedule
11/9/2021 3:20:33 PM,38.5378484,-109.5105854,1353.71,33,6.0,1,6,GPS Schedule
11/9/2021 3:30:35 PM,38.5378943,-109.5105554,1363.37,35,6.5,1.4,6,GPS Schedule
11/9/2021 3:40:03 PM,38.5378600,-109.5105851,1377.78,3,6.5,1.4,6,GPS Schedule
11/9/2021 3:50:02 PM,38.5378222,-109.5105389,1411.95,2,7.0,1.2,6,GPS Schedule
11/9/2021 4:00:04 PM,38.5379260,-109.5104999,1330.07,4,8.0,1.6,5,GPS Schedule
11/9/2021 4:10:03 PM,38.5379393,-109.5105640,1337.84,3,8.0,1.2,6,GPS Schedule
11/9/2021 4:20:01 PM,38.5378322,-109.5104154,1306.23,1,8.0,2,5,GPS Schedule
