Product Type: Litetrack LR
Product ID: 80345
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
11/9/2021 3:20:33 AM,38.5378662,-109.5105861,1351.24,30,22.5,1.8,6,GPS Schedule
11/9/2021 3:30:11 AM,38.5378894,-109.5105613,1349.61,11,20.5,2,5,GPS Schedule
11/9/2021 3:40:02 AM,38.5378587,-109.5105764,1365.12,2,18.5,2,5,GPS Schedule
11/9/2021 3:50:02 AM,38.5378827,-109.5105251,1348.94,2,17.5,2,5,GPS Schedule
11/9/2021 4:00:01 AM,38.5378323,-109.5105572,1368.81,1,16.0,2.2,5,GPS Schedule
11/9/2021 4:10:05 AM,38.5378564,-109.5105296,1341.36,4,14.5,2.2,5,GPS Schedule
11/9/2021 4:20:04 AM,38.5378385,-109.5107050,1353.49,4,14.0,2.2,5,GPS Schedule
11/9/2021 4:30:33 AM,38.5378486,-109.5106263,1390.61,33,13.5,2.6,5,GPS Schedule
11/9/2021 4:40:12 AM,38.5379412,-109.5105156,1345.60,11,12.5,2,6,GPS Schedule
11/9/2021 4:50:02 AM,38.5379277,-109.5104807,1336.24,2,11.5,1.8,6,GPS Schedule
11/9/2021 5:00:01 AM,38.5377647,-109.5106068,1370.21,1,11.0,2,5,GPS Schedule
11/9/2021 5:10:02 AM,38.5379241,-109.5104800,1339.96,2,10.5,2,5,GPS Schedule
11/9/2021 5:20:01 AM,38.5379640,-109.5104179,1324.77,1,10.5,1.8,5,GPS Schedule
11/9/2021 5:30:04 AM,38.5379071,-109.5103845,1345.54,3,10.5,1.6,6,GPS Schedule
11/9/2021 5:40:02 AM,38.5377959,-109.5105108,1361.04,2,10.5,2.4,5,GPS Schedule
11/9/2021 5:50:03 AM,38.5378481,-109.5104372,1350.55,3,11.0,2,5,GPS Schedule
11/9/2021 6:00:02 AM,38.5378529,-109.5104913,1353.10,2,10.5,2.6,5,GPS Schedule
11/9/2021 6:10:06 AM,38.5377463,-109.5102108,1393.63,6,10.0,4.8,4,GPS Schedule
11/9/2021 6:20:35 AM,38.5379272,-109.5105462,1334.72,34,10.0,1.4,5,GPS Schedule
11/9/2021 6:30:04 AM,38.5379519,-109.5105010,1347.32,3,9.5,1.4,5,GPS Schedule
11/9/2021 6:40:03 AM,38.5378731,-109.5104616,1337.44,3,8.5,1.8,4,GPS Schedule
11/9/2021 6:50:33 AM,38.5379306,-109.5105079,1347.07,33,8.5,2,5,GPS Schedule
11/9/2021 7:00:12 AM,38.5378502,-109.5104807,1329.39,11,7.5,2.4,5,GPS Schedule
11/9/2021 7:10:02 AM,38.5378433,-109.5105899,1348.01,1,7.0,2.8,5,GPS Schedule
11/9/2021 7:20:04 AM,38.5377668,-109.5104965,1336.20,3,7.0,2.8,5,GPS Schedule
11/9/2021 7:30:03 AM,38.5379001,-109.5105467,1351.33,3,6.5,2.4,5,GPS Schedule
11/9/2021 7:40:04 AM,38.5381440,-109.5107551,1448.95,4,6.0,2,5,GPS Schedule
11/9/2021 7:50:02 AM,38.5379569,-109.5106196,1375.51,2,6.0,2.2,4,GPS Schedule
11/9/2021 8:00:33 AM,38.5378155,-109.5105160,1353.49,33,6.0,1.8,5,GPS Schedule
11/9/2021 8:10:12 AM,38.5378406,-109.5104805,1351.59,11,5.0,1.8,5,GPS Schedule
