CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
040355,22,074,11,00,00,+10,+38.07067,-109.56568,01.2,06,038,3,2022-03-15
040355,22,074,12,00,00,+24,+38.07066,-109.56571,00.8,09,038,3,2022-03-15
040355,22,074,13,00,00,+22,+38.07069,-109.56568,00.9,09,038,3,2022-03-15
040355,22,074,14,00,20,+20,+38.16107,-109.61945,01.0,08,038,3,2022-03-15
040355,22,074,15,00,24,+19,+38.07073,-109.56558,01.1,07,038,3,2022-03-15
040355,22,074,16,00,00,+20,+38.07065,-109.56562,01.1,07,038,3,2022-03-15
040355,22,074,17,00,00,+19,+38.07057,-109.56554,01.2,07,038,3,2022-03-15
040355,22,074,18,00,00,+18,+38.07065,-109.56556,01.3,06,038,3,2022-03-15
040355,22,074,18,50,00,+14,+38.07065,-109.56562,01.2,07,038,3,2022-03-15
040355,22,074,19,00,00,+14,+38.07066,-109.56554,01.2,07,038,3,2022-03-15
040355,22,074,19,10,00,+13,+38.07067,-109.56554,01.1,07,038,3,2022-03-15
040355,22,074,19,20,00,+12,+38.07066,-109.56558,01.2,06,038,3,2022-03-15
040355,22,074,19,30,00,+10,+38.07066,-109.56560,01.0,08,038,3,2022-03-15
040355,22,074,19,40,00,+10,+38.07068,-109.56560,00.9,08,038,3,2022-03-15
040355,22,074,19,50,00,+09,+38.07067,-109.56562,00.9,08,038,3,2022-03-15
040355,22,074,20,00,00,+09,+38.07069,-109.56562,00.8,09,038,3,2022-03-15
040355,22,074,20,10,00,+08,+38.07067,-109.56562,00.8,09,038,3,2022-03-15
040355,22,074,20,20,00,+07,+38.07069,-109.56560,00.8,09,038,3,2022-03-15
040355,22,074,20,30,00,+07,+38.07071,-109.56566,00.9,08,039,3,2022-03-15
040355,22,074,20,40,00,+06,+38.07066,-109.56556,00.9,08,038,3,2022-03-15
040355,22,074,20,50,00,+06,+38.07065,-109.56562,00.9,08,038,3,2022-03-15
040355,22,074,21,00,00,+05,+38.07067,-109.56560,00.8,09,038,3,2022-03-15
040355,22,074,21,10,00,+04,+38.07067,-109.56560,00.9,08,038,3,2022-03-15
040355,22,074,21,20,00,+04,+38.07066,-109.56558,01.0,07,038,3,2022-03-15
040355,22,074,21,30,00,+04,+38.07069,-109.56558,00.9,08,038,3,2022-03-15
040355,22,074,21,40,00,+03,+38.07069,-109.56564,01.1,08,038,3,2022-03-15
040355,22,074,21,50,00,+03,+38.07065,-109.56560,01.0,08,038,3,2022-03-15
040355,22,074,22,00,00,+03,+38.07066,-109.56558,00.9,09,038,3,2022-03-15
040355,22,074,22,10,00,+03,+38.07068,-109.56560,00.9,09,038,3,2022-03-15
040355,22,074,22,20,00,+02,+38.07063,-109.56558,00.9,09,038,3,2022-03-15
040355,22,074,22,30,00,+02,+38.07066,-109.56558,00.7,10,038,3,2022-03-15
040355,22,074,22,40,00,+01,+38.07067,-109.56560,00.9,08,038,3,2022-03-15
040355,22,074,22,50,00,+02,+38.07067,-109.56558,00.8,08,038,3,2022-03-15
040355,22,074,23,00,00,+02,+38.07067,-109.56560,00.8,08,038,3,2022-03-15
040355,22,074,23,10,00,+01,+38.07071,-109.56562,00.9,07,037,3,2022-03-15
040355,22,074,23,20,00,+01,+38.07071,-109.56560,01.2,06,038,3,2022-03-15
040355,22,074,23,30,00,+01,+38.07066,-109.56558,00.9,07,038,3,2022-03-15
040355,22,074,23,40,00,+01,+38.07067,-109.56558,00.8,08,038,3,2022-03-15
