CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
042087,22,074,00,00,00,+02,+38.07067,-109.56562,00.8,09,038,3,2022-03-15
042087,22,074,00,10,00,+01,+38.07070,-109.56564,00.8,09,038,3,2022-03-15
042087,22,074,00,20,00,+01,+38.07073,-109.56565,00.9,08,038,3,2022-03-15
042087,22,074,00,30,00,+01,+38.07073,-109.56560,01.1,07,038,3,2022-03-15
042087,22,074,00,40,00,+01,+38.07069,-109.56560,01.0,08,038,3,2022-03-15
042087,22,074,00,50,00,+01,+38.07068,-109.56562,00.9,09,037,3,2022-03-15
042087,22,074,01,00,00,+00,+38.07070,-109.56560,00.9,09,038,3,2022-03-15
042087,22,074,01,10,00,+00,+38.07072,-109.56562,00.9,09,038,3,2022-03-15
042087,22,074,01,20,00,+00,+38.07070,-109.56568,00.9,08,038,3,2022-03-15
042087,22,074,01,30,00,+00,+38.07068,-109.56562,00.9,09,038,3,2022-03-15
042087,22,074,01,40,00,+00,+38.07067,-109.56565,01.3,07,038,3,2022-03-15
042087,22,074,01,50,00,-01,+38.07071,-109.56568,01.0,09,038,3,2022-03-15
042087,22,074,02,00,00,-01,+38.07070,-109.56564,00.9,09,038,3,2022-03-15
042087,22,074,02,10,00,-01,+38.07073,-109.56560,01.0,08,038,3,2022-03-15
042087,22,074,02,20,00,-01,+38.07069,-109.56565,01.0,08,038,3,2022-03-15
042087,22,074,02,30,00,-01,+38.07072,-109.56564,01.0,08,038,3,2022-03-15
042087,22,074,02,40,00,-01,+38.07067,-109.56564,01.5,07,038,3,2022-03-15
042087,22,074,02,50,00,-01,+38.07070,-109.56569,01.4,07,038,3,2022-03-15
042087,22,074,03,00,00,-02,+38.07068,-109.56571,02.2,06,038,3,2022-03-15
042087,22,074,03,10,00,-02,+38.07071,-109.56564,01.9,07,038,3,2022-03-15
042087,22,074,03,20,00,-02,+38.07069,-109.56562,01.6,07,037,3,2022-03-15
042087,22,074,03,30,00,-01,+38.07067,-109.56562,01.4,07,038,3,2022-03-15
042087,22,074,03,40,00,-01,+38.07070,-109.56564,01.2,07,038,3,2022-03-15
042087,22,074,03,50,00,-02,+38.07073,-109.56562,01.1,07,038,3,2022-03-15
042087,22,074,04,00,00,-02,+38.07073,-109.56565,00.9,07,037,3,2022-03-15
042087,22,074,04,10,00,-02,+38.07071,-109.56562,00.8,09,038,3,2022-03-15
042087,22,074,04,20,00,-02,+38.07071,-109.56565,00.9,08,038,3,2022-03-15
042087,22,074,04,30,00,-02,+38.07070,-109.56565,00.9,08,038,3,2022-03-15
042087,22,074,04,40,00,-02,+38.07072,-109.56566,00.9,08,039,3,2022-03-15
042087,22,074,04,50,00,-02,+38.07067,-109.56562,00.9,08,038,3,2022-03-15
