CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
040203,22,165,00,00,00,+24,+38.07023,-109.56552,01.2,06,039,3,2022-06-14
040203,22,165,02,00,00,+20,+38.07015,-109.56562,00.9,08,040,3,2022-06-14
040203,22,165,06,00,00,+17,+38.07023,-109.56546,00.9,09,039,3,2022-06-14
040203,22,165,08,00,02,+29,+38.07298,-109.56428,00.8,09,038,3,2022-06-14
040203,22,165,10,00,04,+36,+38.07300,-109.56433,00.9,09,040,3,2022-06-14
040203,22,165,12,00,88,+29,+38.07405,-109.56611,01.0,09,038,3,2022-06-14
040203,22,165,14,00,82,+30,+38.07347,-109.56314,00.7,12,038,3,2022-06-14
040203,22,165,16,00,72,+33,+38.07425,-109.56634,00.9,10,038,3,2022-06-14
040203,22,165,18,00,72,+30,+38.07329,-109.56669,00.8,09,038,3,2022-06-14
040203,22,165,20,00,98,+23,+38.07462,-109.56703,00.9,09,038,3,2022-06-14
040203,22,165,22,00,54,+19,+38.07451,-109.56732,00.9,08,038,3,2022-06-14
040203,22,166,00,00,72,+17,+38.07450,-109.56671,00.9,08,038,3,2022-06-15
040203,22,166,02,00,52,+18,+38.07456,-109.56728,00.9,08,040,3,2022-06-15
040203,22,166,04,00,36,+16,+38.07410,-109.56753,00.8,09,040,3,2022-06-15
040203,22,166,06,00,94,+20,+38.04663,-109.58664,00.8,10,038,3,2022-06-15
040203,22,166,08,00,88,+27,+37.99392,-109.59734,00.9,09,039,3,2022-06-15
040203,22,166,12,00,58,+31,+37.96781,-109.62105,01.1,08,038,3,2022-06-15
040203,22,166,14,00,38,+36,+37.96812,-109.62000,00.8,11,038,3,2022-06-15
040203,22,166,16,00,72,+33,+37.96686,-109.62093,01.3,07,038,3,2022-06-15
040203,22,166,20,00,78,+21,+37.96010,-109.62479,01.0,08,038,3,2022-06-15
040203,22,166,22,00,64,+20,+37.95970,-109.62488,01.4,08,041,3,2022-06-15
040203,22,167,00,00,34,+21,+37.95970,-109.62494,01.0,07,039,3,2022-06-16
040203,22,167,02,00,68,+18,+37.96022,-109.62502,00.9,08,038,3,2022-06-16
040203,22,167,04,00,42,+19,+37.96023,-109.62516,01.2,06,040,3,2022-06-16
040203,22,167,06,00,54,+19,+37.94964,-109.63503,01.0,09,038,3,2022-06-16
040203,22,167,08,00,90,+34,+37.93280,-109.66719,00.9,08,038,3,2022-06-16
040203,22,167,14,00,70,+40,+37.87065,-109.70501,00.8,10,038,3,2022-06-16
040203,22,167,16,00,78,+34,+37.87051,-109.70365,01.1,08,037,3,2022-06-16
040203,22,167,20,00,92,+23,+37.86710,-109.70153,00.9,09,038,3,2022-06-16
040203,22,167,22,00,60,+21,+37.86527,-109.70085,01.0,08,038,3,2022-06-16
040203,22,168,00,00,42,+17,+37.86484,-109.70078,01.3,06,038,3,2022-06-17
040203,22,168,02,00,50,+22,+37.86507,-109.70081,00.9,08,039,3,2022-06-17
040203,22,168,04,00,14,+25,+37.86498,-109.70081,00.9,08,038,3,2022-06-17
040203,22,168,06,00,92,+23,+37.86171,-109.70119,01.5,06,038,3,2022-06-17
040203,22,168,08,00,78,+28,+37.85965,-109.69886,01.4,06,042,3,2022-06-17
040203,22,168,12,00,40,+35,+37.87235,-109.70192,01.0,09,038,3,2022-06-17
040203,22,168,14,00,72,+33,+37.87383,-109.70365,04.1,05,039,3,2022-06-17
040203,22,168,16,00,90,+33,+37.87249,-109.70265,01.3,08,041,3,2022-06-17
040203,22,168,18,00,54,+28,+37.86678,-109.70167,00.9,08,040,3,2022-06-17
040203,22,168,22,00,64,+24,+37.86005,-109.70733,00.8,10,038,3,2022-06-17
040203,22,169,00,00,26,+21,+37.86020,-109.70739,01.3,07,038,3,2022-06-18
040203,22,169,04,00,88,+19,+37.85993,-109.70642,01.2,06,038,3,2022-06-18
040203,22,169,06,00,76,+20,+37.86013,-109.70485,00.9,09,040,3,2022-06-18
