CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
040098,22,165,00,00,00,+32,+38.07020,-109.56547,00.8,09,038,3,2022-06-14
040098,22,165,02,00,00,+29,+38.07022,-109.56555,00.8,09,039,3,2022-06-14
040098,22,165,04,00,00,+28,+38.07004,-109.56578,01.2,06,038,3,2022-06-14
040098,22,165,06,00,00,+25,+38.07029,-109.56542,01.1,08,038,3,2022-06-14
040098,22,165,08,00,02,+40,+38.07298,-109.56428,00.9,08,038,3,2022-06-14
040098,22,165,10,00,36,+35,+38.07326,-109.56394,01.0,08,038,3,2022-06-14
040098,22,165,12,00,88,+35,+38.07320,-109.56629,01.2,07,038,3,2022-06-14
040098,22,165,14,00,72,+43,+38.07324,-109.56751,00.7,10,038,3,2022-06-14
040098,22,165,16,00,42,+41,+38.07416,-109.56852,01.0,08,040,3,2022-06-14
040098,22,165,18,00,92,+40,+38.07590,-109.56993,01.1,07,038,3,2022-06-14
040098,22,165,20,00,88,+30,+38.07376,-109.56932,00.9,08,038,3,2022-06-14
040098,22,165,22,00,24,+22,+38.07351,-109.56959,01.0,08,038,3,2022-06-14
040098,22,166,00,00,18,+23,+38.07376,-109.56919,01.0,07,038,3,2022-06-15
040098,22,166,02,00,18,+25,+38.07359,-109.56925,00.9,08,044,3,2022-06-15
040098,22,166,04,00,20,+20,+38.07391,-109.56890,00.8,09,039,3,2022-06-15
040098,22,166,06,00,96,+26,+38.05220,-109.58496,01.0,09,038,3,2022-06-15
040098,22,166,12,00,38,+44,+37.97476,-109.61781,01.4,07,049,3,2022-06-15
040098,22,166,14,00,72,+46,+37.97439,-109.61586,01.1,10,038,3,2022-06-15
040098,22,166,18,00,74,+38,+37.97537,-109.61396,00.9,08,038,3,2022-06-15
040098,22,166,20,00,92,+29,+37.97674,-109.61325,01.0,07,038,3,2022-06-15
040098,22,166,22,00,30,+28,+37.97677,-109.61340,01.0,08,040,3,2022-06-15
040098,22,167,00,00,78,+24,+37.97609,-109.61462,01.1,07,038,3,2022-06-16
040098,22,167,04,00,18,+23,+37.97649,-109.61453,01.1,07,038,3,2022-06-16
040098,22,167,06,00,86,+30,+37.94966,-109.63523,01.0,08,038,3,2022-06-16
040098,22,167,08,00,92,+40,+37.93334,-109.66688,00.9,08,038,3,2022-06-16
040098,22,167,12,00,78,+43,+37.86973,-109.70327,01.1,08,053,3,2022-06-16
