CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
040033,22,165,00,00,00,+24,+38.06999,-109.56566,00.9,07,040,3,2022-06-14
040033,22,165,02,00,00,+20,+38.07019,-109.56555,00.9,07,040,3,2022-06-14
040033,22,165,04,00,00,+18,+38.07008,-109.56562,01.4,06,038,3,2022-06-14
040033,22,165,06,00,00,+17,+38.07017,-109.56562,00.9,09,040,3,2022-06-14
040033,22,165,08,00,02,+35,+38.07299,-109.56436,00.8,09,038,3,2022-06-14
040033,22,165,10,00,22,+31,+38.07318,-109.56391,00.8,10,043,3,2022-06-14
040033,22,165,14,00,80,+35,+38.07577,-109.56997,01.1,09,039,3,2022-06-14
040033,22,165,16,00,66,+30,+38.07519,-109.56874,01.1,07,038,3,2022-06-14
040033,22,165,20,00,92,+22,+38.07213,-109.57066,01.0,08,038,3,2022-06-14
040033,22,165,22,00,68,+13,+38.07362,-109.56939,00.8,10,039,3,2022-06-14
040033,22,166,00,00,50,+13,+38.07459,-109.56945,00.9,08,038,3,2022-06-15
040033,22,166,02,00,86,+13,+38.07381,-109.56381,00.8,08,039,3,2022-06-15
040033,22,166,04,00,48,+10,+38.07374,-109.56391,01.0,08,038,3,2022-06-15
040033,22,166,06,00,72,+14,+38.05057,-109.58592,01.0,09,039,3,2022-06-15
040033,22,166,12,00,48,+36,+37.97438,-109.61836,01.1,07,049,3,2022-06-15
040033,22,166,14,00,74,+32,+37.97614,-109.61624,01.1,09,038,3,2022-06-15
040033,22,166,16,00,50,+30,+37.97457,-109.61592,01.3,07,058,3,2022-06-15
040033,22,166,22,00,42,+20,+37.96791,-109.61930,00.9,09,049,3,2022-06-15
040033,22,167,00,00,34,+18,+37.96788,-109.61925,00.9,08,038,3,2022-06-16
040033,22,167,02,00,36,+14,+37.96752,-109.61891,00.8,09,038,3,2022-06-16
040033,22,167,04,00,18,+17,+37.96775,-109.61879,01.4,05,038,3,2022-06-16
040033,22,167,06,00,66,+18,+37.94953,-109.63526,01.0,08,038,3,2022-06-16
040033,22,167,12,00,80,+31,+37.86983,-109.70260,01.1,07,050,3,2022-06-16
040033,22,167,14,00,86,+34,+37.86929,-109.70224,00.8,09,038,3,2022-06-16
040033,22,167,16,00,74,+36,+37.86914,-109.70268,01.0,08,038,3,2022-06-16
040033,22,167,18,00,62,+32,+37.86692,-109.70222,01.0,07,038,3,2022-06-16
040033,22,167,20,00,96,+19,+37.85929,-109.70173,01.0,08,038,3,2022-06-16
040033,22,167,22,00,72,+14,+37.85936,-109.70194,01.0,08,038,3,2022-06-16
040033,22,168,00,00,36,+13,+37.86018,-109.70158,01.3,06,038,3,2022-06-17
040033,22,168,02,00,62,+22,+37.86039,-109.70161,00.9,09,040,3,2022-06-17
040033,22,168,04,00,42,+23,+37.86029,-109.70156,00.9,08,038,3,2022-06-17
040033,22,168,06,00,80,+22,+37.86973,-109.70304,00.9,09,038,3,2022-06-17
040033,22,168,08,00,74,+30,+37.86858,-109.70291,00.9,08,041,3,2022-06-17
040033,22,168,10,00,38,+33,+37.87038,-109.70314,01.1,08,039,3,2022-06-17
040033,22,168,12,00,32,+32,+37.87041,-109.70314,01.2,07,038,3,2022-06-17
040033,22,168,14,00,60,+35,+37.86792,-109.70352,00.8,10,038,3,2022-06-17
040033,22,168,16,00,84,+33,+37.86736,-109.70274,01.1,08,038,3,2022-06-17
040033,22,168,22,00,52,+22,+37.86714,-109.70265,01.0,08,038,3,2022-06-17
040033,22,169,00,00,44,+20,+37.86714,-109.70261,01.3,07,038,3,2022-06-18
040033,22,169,02,00,40,+18,+37.86743,-109.70394,00.7,10,038,3,2022-06-18
040033,22,169,04,00,44,+17,+37.86751,-109.70439,00.9,07,038,3,2022-06-18
040033,22,169,06,00,46,+16,+37.86714,-109.70432,01.0,08,038,3,2022-06-18
040033,22,169,08,00,80,+22,+37.86823,-109.70512,00.8,10,040,3,2022-06-18
040033,22,169,10,00,12,+25,+37.86837,-109.70503,00.9,09,038,3,2022-06-18
040033,22,169,12,00,64,+28,+37.87065,-109.70375,01.2,07,039,3,2022-06-18
040033,22,169,14,00,70,+29,+37.86940,-109.70697,00.9,09,038,3,2022-06-18
040033,22,169,16,00,40,+20,+37.86944,-109.70767,00.9,09,039,3,2022-06-18
040033,22,169,20,00,96,+15,+37.85971,-109.70487,01.4,07,038,3,2022-06-18
040033,22,169,22,00,52,+17,+37.85960,-109.70501,00.9,09,038,3,2022-06-18
040033,22,170,00,00,30,+15,+37.85952,-109.70516,01.3,07,041,3,2022-06-19
040033,22,170,02,00,22,+13,+37.85957,-109.70466,01.0,08,038,3,2022-06-19
040033,22,170,04,00,28,+14,+37.85959,-109.70516,01.0,07,039,3,2022-06-19
040033,22,170,06,00,40,+15,+37.85866,-109.70596,01.1,08,038,3,2022-06-19
040033,22,170,08,00,64,+17,+37.85936,-109.70543,01.4,06,038,3,2022-06-19
040033,22,170,10,00,26,+19,+37.85934,-109.70539,01.1,08,040,3,2022-06-19
040033,22,170,12,00,46,+23,+37.86730,-109.70514,01.1,08,038,3,2022-06-19
040033,22,170,16,00,50,+29,+37.86297,-109.70455,01.1,05,038,3,2022-06-19
040033,22,170,18,00,60,+29,+37.86024,-109.70642,01.1,07,058,3,2022-06-19
040033,22,170,20,00,82,+20,+37.85930,-109.70512,01.3,07,057,3,2022-06-19
040033,22,170,22,00,80,+19,+37.85940,-109.70526,00.9,09,038,3,2022-06-19
040033,22,171,00,00,48,+08,+37.85900,-109.70547,01.4,07,038,3,2022-06-20
040033,22,171,02,00,62,+07,+37.85894,-109.70570,01.2,07,039,3,2022-06-20
040033,22,171,04,00,24,+05,+37.85956,-109.70587,01.9,05,038,3,2022-06-20
040033,22,171,06,00,58,+05,+37.85858,-109.70594,01.2,07,038,3,2022-06-20
040033,22,171,08,00,66,+25,+37.85901,-109.70635,01.2,06,040,3,2022-06-20
040033,22,171,10,00,36,+21,+37.85877,-109.70509,00.9,09,040,3,2022-06-20
040033,22,171,12,00,52,+27,+37.87019,-109.70317,01.2,08,039,3,2022-06-20
040033,22,171,14,00,32,+30,+37.87121,-109.70706,00.9,08,038,3,2022-06-20
040033,22,171,16,00,88,+27,+37.85664,-109.73730,01.1,07,040,3,2022-06-20
040033,22,171,18,00,70,+24,+37.85060,-109.74643,01.0,09,039,3,2022-06-20
040033,22,171,20,00,80,+11,+37.84886,-109.75128,01.0,09,040,3,2022-06-20
040033,22,171,22,00,40,+10,+37.84917,-109.75292,00.9,08,038,3,2022-06-20
040033,22,172,00,00,56,+08,+37.84902,-109.75454,01.0,08,039,3,2022-06-21
040033,22,172,02,00,24,+06,+37.84891,-109.75452,00.8,09,038,3,2022-06-21
040033,22,172,04,00,32,+09,+37.84887,-109.75460,00.9,09,039,3,2022-06-21
040033,22,172,06,00,58,+09,+37.85153,-109.75585,00.9,09,038,3,2022-06-21
040033,22,172,08,00,42,+24,+37.85060,-109.75532,00.7,11,038,3,2022-06-21
040033,22,172,10,00,18,+27,+37.85051,-109.75565,00.9,09,038,3,2022-06-21
040033,22,172,12,00,26,+31,+37.84841,-109.75138,01.0,09,038,3,2022-06-21
040033,22,172,14,00,64,+29,+37.84856,-109.74991,00.8,09,039,3,2022-06-21
040033,22,172,16,00,28,+29,+37.84856,-109.74980,01.4,08,039,3,2022-06-21
040033,22,172,20,00,98,+16,+37.84564,-109.75242,02.7,06,038,3,2022-06-21
040033,22,172,22,00,28,+14,+37.84563,-109.75234,00.8,09,038,3,2022-06-21
040033,22,173,02,00,38,+17,+37.84537,-109.75273,01.0,07,038,3,2022-06-22
040033,22,173,04,00,34,+17,+37.84573,-109.75261,00.8,09,040,3,2022-06-22
040033,22,173,06,00,54,+16,+37.84896,-109.74953,01.3,07,038,3,2022-06-22
040033,22,173,08,00,80,+20,+37.85507,-109.75312,00.7,12,038,3,2022-06-22
040033,22,173,10,00,22,+23,+37.85539,-109.75326,00.9,09,038,3,2022-06-22
040033,22,173,12,00,24,+28,+37.85509,-109.75315,01.2,07,037,3,2022-06-22
040033,22,173,14,00,62,+26,+37.85559,-109.75415,00.8,10,038,3,2022-06-22
040033,22,173,16,00,46,+20,+37.85557,-109.75460,00.8,09,038,3,2022-06-22
040033,22,173,22,00,46,+14,+37.85064,-109.75578,00.8,09,038,3,2022-06-22
040033,22,174,00,00,22,+17,+37.85063,-109.75546,01.1,08,039,3,2022-06-23
040033,22,174,02,00,56,+14,+37.85144,-109.75553,00.8,09,039,3,2022-06-23
040033,22,174,04,00,14,+17,+37.85120,-109.75540,00.7,10,038,3,2022-06-23
040033,22,174,06,00,70,+14,+37.85179,-109.75608,00.9,09,038,3,2022-06-23
040033,22,174,08,00,76,+20,+37.85238,-109.75521,01.0,10,039,3,2022-06-23
040033,22,174,10,00,32,+25,+37.85556,-109.75428,00.8,10,038,3,2022-06-23
040033,22,174,12,00,16,+22,+37.85559,-109.75395,01.1,08,038,3,2022-06-23
040033,22,174,14,00,66,+25,+37.85913,-109.75668,01.5,07,038,3,2022-06-23
040033,22,174,16,00,20,+36,+37.85889,-109.75595,00.8,09,038,3,2022-06-23
040033,22,174,20,00,98,+19,+37.86336,-109.75168,02.2,07,038,3,2022-06-23
040033,22,174,22,00,42,+14,+37.86209,-109.75315,01.0,08,038,3,2022-06-23
040033,22,175,00,00,34,+11,+37.86230,-109.75216,01.1,08,039,3,2022-06-24
040033,22,175,02,00,28,+14,+37.86227,-109.75220,01.4,06,038,3,2022-06-24
040033,22,175,04,00,26,+13,+37.86222,-109.75225,00.8,09,038,3,2022-06-24
040033,22,175,06,00,64,+13,+37.86271,-109.75376,00.9,09,038,3,2022-06-24
040033,22,175,08,00,82,+20,+37.86347,-109.75822,01.0,08,038,3,2022-06-24
040033,22,175,10,00,42,+25,+37.86344,-109.75809,01.1,09,038,3,2022-06-24
040033,22,175,12,00,28,+27,+37.86354,-109.75819,01.1,08,040,3,2022-06-24
040033,22,175,14,00,56,+31,+37.86285,-109.75421,00.8,09,038,3,2022-06-24
040033,22,175,16,00,82,+30,+37.86238,-109.74993,00.7,10,038,3,2022-06-24
040033,22,175,18,00,60,+29,+37.86246,-109.75086,01.2,07,038,3,2022-06-24
040033,22,175,22,00,72,+13,+37.86199,-109.75327,00.8,10,038,3,2022-06-24
040033,22,176,00,00,34,+13,+37.86196,-109.75317,01.5,06,038,3,2022-06-25
040033,22,176,02,00,56,+17,+37.86217,-109.75353,01.1,07,040,3,2022-06-25
040033,22,176,04,00,18,+15,+37.86207,-109.75363,00.8,09,039,3,2022-06-25
040033,22,176,06,00,52,+18,+37.86397,-109.75685,00.9,09,038,3,2022-06-25
040033,22,176,08,00,64,+25,+37.86256,-109.76319,00.9,09,038,3,2022-06-25
040033,22,176,10,00,30,+26,+37.86242,-109.76202,01.3,09,058,3,2022-06-25
040033,22,176,14,00,98,+27,+37.86217,-109.75281,00.7,10,038,3,2022-06-25
040033,22,176,16,00,50,+27,+37.86266,-109.75448,00.9,08,038,3,2022-06-25
040033,22,176,18,00,58,+25,+37.86376,-109.75636,01.4,07,040,3,2022-06-25
040033,22,176,22,00,82,+18,+37.86220,-109.75186,00.8,10,038,3,2022-06-25
