CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
040061,22,074,00,00,00,-14,+38.07069,-109.56558,00.8,08,038,3,2022-03-15
040061,22,074,01,00,00,-14,+38.07067,-109.56566,00.9,08,038,3,2022-03-15
040061,22,074,02,00,00,-15,+38.07069,-109.56566,00.9,09,038,3,2022-03-15
040061,22,074,03,00,00,-16,+38.07062,-109.56566,01.4,07,039,3,2022-03-15
040061,22,074,04,00,00,-16,+38.07070,-109.56560,01.0,08,038,3,2022-03-15
040061,22,074,05,00,00,-17,+38.07073,-109.56562,00.9,09,038,3,2022-03-15
040061,22,074,06,00,00,-17,+38.07077,-109.56565,00.8,09,038,3,2022-03-15
040061,22,074,07,00,00,-17,+38.07067,-109.56562,00.9,09,038,3,2022-03-15
040061,22,074,08,00,00,-14,+38.07074,-109.56565,00.9,08,038,3,2022-03-15
040061,22,074,09,00,10,+04,+38.07290,-109.56429,00.9,08,038,3,2022-03-15
040061,22,074,10,00,62,+10,+38.07323,-109.56428,00.9,08,038,3,2022-03-15
040061,22,074,11,00,60,+10,+38.07323,-109.56440,01.0,08,039,3,2022-03-15
040061,22,074,12,00,30,+18,+38.07304,-109.56461,00.8,10,038,3,2022-03-15
040061,22,074,13,00,14,+18,+38.07313,-109.56421,00.9,09,038,3,2022-03-15
040061,22,074,14,00,54,+15,+38.07325,-109.56409,00.8,09,038,3,2022-03-15
040061,22,074,15,00,70,+13,+38.07329,-109.56417,00.9,08,040,3,2022-03-15
040061,22,074,16,00,28,+20,+38.07340,-109.56430,01.3,06,038,3,2022-03-15
040061,22,074,17,00,58,+12,+38.07297,-109.56387,00.9,07,038,3,2022-03-15
040061,22,074,18,00,52,+05,+38.07317,-109.56405,01.0,07,039,3,2022-03-15
040061,22,074,19,00,66,+02,+38.07336,-109.56394,01.3,07,058,3,2022-03-15
040061,22,074,20,00,20,+02,+38.07306,-109.56413,00.8,09,038,3,2022-03-15
040061,22,074,21,00,08,+00,+38.07313,-109.56407,00.8,09,038,3,2022-03-15
040061,22,074,22,00,10,-03,+38.07306,-109.56415,01.0,08,038,3,2022-03-15
040061,22,074,23,00,30,-04,+38.07311,-109.56425,00.7,09,039,3,2022-03-15
040061,22,075,00,00,04,-03,+38.07310,-109.56414,00.8,08,038,3,2022-03-16
040061,22,075,01,00,26,-04,+38.07325,-109.56402,00.9,08,038,3,2022-03-16
040061,22,075,02,00,34,-05,+38.07328,-109.56410,00.9,09,038,3,2022-03-16
040061,22,075,03,00,24,-01,+38.07322,-109.56425,01.3,08,040,3,2022-03-16
040061,22,075,04,00,06,-01,+38.07310,-109.56427,00.8,10,038,3,2022-03-16
040061,22,075,05,00,04,-02,+38.07305,-109.56425,00.8,09,038,3,2022-03-16
040061,22,075,06,00,08,-03,+38.07313,-109.56427,00.9,08,038,3,2022-03-16
040061,22,075,07,00,24,-06,+38.07332,-109.56446,01.0,08,038,3,2022-03-16
040061,22,075,08,00,28,-03,+38.07310,-109.56439,00.8,09,038,3,2022-03-16
040061,22,075,09,00,38,+03,+38.07326,-109.56406,00.9,09,038,3,2022-03-16
040061,22,075,10,00,42,+09,+38.07313,-109.56465,00.9,09,038,3,2022-03-16
040061,22,075,11,00,04,+14,+38.07315,-109.56463,00.8,10,038,3,2022-03-16
040061,22,075,12,00,60,+04,+38.07326,-109.56413,00.8,10,038,3,2022-03-16
040061,22,075,13,00,34,+03,+38.07333,-109.56436,00.9,09,038,3,2022-03-16
040061,22,075,14,00,50,-04,+38.07322,-109.56406,00.8,09,038,3,2022-03-16
040061,22,075,15,00,38,-05,+38.07331,-109.56405,01.3,07,038,3,2022-03-16
040061,22,075,16,00,40,-07,+38.07302,-109.56427,01.0,07,038,3,2022-03-16
040061,22,075,17,00,72,-05,+38.07300,-109.56439,00.8,08,038,3,2022-03-16
040061,22,075,18,00,54,-05,+38.07319,-109.56391,01.0,07,038,3,2022-03-16
040061,22,075,19,00,48,-05,+38.07326,-109.56385,01.7,06,038,3,2022-03-16
040061,22,075,20,00,60,-05,+38.07321,-109.56407,00.8,09,038,3,2022-03-16
040061,22,075,21,00,10,-03,+38.07328,-109.56406,00.8,09,038,3,2022-03-16
040061,22,075,22,00,28,-02,+38.07323,-109.56410,00.9,09,038,3,2022-03-16
040061,22,075,23,00,32,-07,+38.07310,-109.56451,00.8,08,038,3,2022-03-16
040061,22,076,00,00,06,-02,+38.07317,-109.56442,00.8,08,038,3,2022-03-17
040061,22,076,01,00,14,-05,+38.07314,-109.56448,01.0,07,038,3,2022-03-17
040061,22,076,02,00,18,-07,+38.07329,-109.56409,01.1,08,038,3,2022-03-17
040061,22,076,03,00,56,-10,+38.07323,-109.56406,01.4,08,038,3,2022-03-17
040061,22,076,04,00,20,-07,+38.07298,-109.56421,00.9,09,038,3,2022-03-17
040061,22,076,05,00,22,-07,+38.07326,-109.56434,00.8,09,038,3,2022-03-17
040061,22,076,06,00,08,-06,+38.07323,-109.56436,00.8,09,038,3,2022-03-17
040061,22,076,07,00,08,-05,+38.07312,-109.56438,01.0,08,038,3,2022-03-17
040061,22,076,08,00,64,-07,+38.07324,-109.56407,00.9,08,038,3,2022-03-17
040061,22,076,09,00,50,+00,+38.07279,-109.56444,00.9,08,038,3,2022-03-17
040061,22,076,10,00,44,+10,+38.07283,-109.56444,00.9,07,038,3,2022-03-17
040061,22,076,11,00,38,+05,+38.07296,-109.56448,00.9,08,038,3,2022-03-17
040061,22,076,12,00,84,+03,+38.15920,-109.60723,01.0,07,038,3,2022-03-17
040061,22,076,13,00,92,+03,+38.15736,-109.60694,00.8,08,038,3,2022-03-17
040061,22,076,14,00,94,+03,+38.15619,-109.60666,01.0,07,038,3,2022-03-17
040061,22,076,15,00,48,+04,+38.15716,-109.60766,01.4,06,040,3,2022-03-17
040061,22,076,16,00,84,+03,+38.15974,-109.61033,00.9,07,039,3,2022-03-17
040061,22,076,17,00,74,+04,+38.15939,-109.60792,00.8,08,038,3,2022-03-17
040061,22,076,18,00,56,+02,+38.15737,-109.60735,00.9,08,038,3,2022-03-17
040061,22,076,20,00,84,-08,+38.13594,-109.59867,00.8,08,043,3,2022-03-17
040061,22,076,21,00,62,-08,+38.13708,-109.59854,00.8,09,038,3,2022-03-17
040061,22,076,22,00,86,-08,+38.13711,-109.59866,01.3,08,038,3,2022-03-17
040061,22,076,23,00,78,-09,+38.13704,-109.59856,01.1,07,040,3,2022-03-17
