CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
042177,22,165,00,00,00,+26,+38.07021,-109.56545,00.9,08,038,3,2022-06-14
042177,22,165,02,00,00,+23,+38.07014,-109.56565,00.9,08,038,3,2022-06-14
042177,22,165,04,00,00,+21,+38.06998,-109.56573,01.2,06,038,3,2022-06-14
042177,22,165,06,00,00,+19,+38.07016,-109.56560,01.2,07,040,3,2022-06-14
042177,22,165,08,00,02,+25,+38.07291,-109.56432,00.8,09,038,3,2022-06-14
042177,22,165,10,00,16,+30,+38.07327,-109.56375,00.9,09,038,3,2022-06-14
042177,22,165,14,00,98,+31,+38.07369,-109.56687,00.7,11,038,3,2022-06-14
042177,22,165,16,00,76,+32,+38.07354,-109.56632,00.9,10,038,3,2022-06-14
042177,22,165,20,00,82,+26,+38.07357,-109.56878,00.9,08,038,3,2022-06-14
042177,22,165,22,00,50,+20,+38.07350,-109.56898,00.8,10,038,3,2022-06-14
042177,22,166,00,00,86,+18,+38.07277,-109.56732,00.8,09,038,3,2022-06-15
042177,22,166,02,00,38,+22,+38.07262,-109.56780,00.9,08,041,3,2022-06-15
042177,22,166,04,00,36,+19,+38.07262,-109.56781,01.3,06,038,3,2022-06-15
042177,22,166,06,00,96,+21,+38.05173,-109.58545,01.0,08,038,3,2022-06-15
042177,22,166,12,00,52,+36,+37.97487,-109.61773,01.4,07,050,3,2022-06-15
042177,22,166,14,00,50,+36,+37.97526,-109.61612,00.9,09,038,3,2022-06-15
042177,22,166,16,00,64,+36,+37.97468,-109.61650,01.2,08,039,3,2022-06-15
042177,22,166,18,00,70,+36,+37.97070,-109.61804,00.8,09,038,3,2022-06-15
042177,22,166,20,00,94,+24,+37.96880,-109.61756,00.9,09,038,3,2022-06-15
042177,22,166,22,00,20,+24,+37.96879,-109.61752,00.9,09,038,3,2022-06-15
042177,22,167,00,00,78,+21,+37.96859,-109.61711,01.0,07,040,3,2022-06-16
042177,22,167,02,00,34,+25,+37.96845,-109.61721,01.0,07,040,3,2022-06-16
042177,22,167,04,00,46,+21,+37.96858,-109.61767,01.2,06,041,3,2022-06-16
042177,22,167,06,00,78,+23,+37.94959,-109.63545,01.0,09,038,3,2022-06-16
042177,22,167,08,00,92,+34,+37.93337,-109.66706,00.8,09,038,3,2022-06-16
042177,22,167,10,00,92,+37,+37.90024,-109.69338,01.4,06,043,3,2022-06-16
042177,22,167,14,00,48,+38,+37.87085,-109.70382,00.7,10,038,3,2022-06-16
042177,22,167,16,00,96,+37,+37.87088,-109.70387,00.9,09,038,3,2022-06-16
042177,22,167,20,00,94,+25,+37.87219,-109.70169,01.2,06,038,3,2022-06-16
042177,22,167,22,00,34,+25,+37.87253,-109.70232,00.9,09,039,3,2022-06-16
042177,22,168,00,00,62,+19,+37.87316,-109.70218,01.3,07,038,3,2022-06-17
042177,22,168,02,00,60,+25,+37.87232,-109.70175,00.9,09,040,3,2022-06-17
042177,22,168,04,00,32,+25,+37.87234,-109.70175,00.8,10,038,3,2022-06-17
042177,22,168,06,00,60,+25,+37.87268,-109.70284,01.1,08,038,3,2022-06-17
042177,22,168,08,00,72,+30,+37.87291,-109.70287,00.8,09,038,3,2022-06-17
042177,22,168,12,00,28,+36,+37.87029,-109.70340,01.0,09,038,3,2022-06-17
042177,22,168,14,00,92,+35,+37.86848,-109.70352,00.8,10,038,3,2022-06-17
042177,22,168,16,00,48,+32,+37.87025,-109.70287,00.9,09,038,3,2022-06-17
042177,22,168,18,00,56,+30,+37.86771,-109.70288,01.4,06,038,3,2022-06-17
042177,22,168,22,00,42,+27,+37.86284,-109.70415,00.8,09,038,3,2022-06-17
042177,22,169,00,00,32,+25,+37.86276,-109.70428,01.2,08,038,3,2022-06-18
042177,22,169,02,00,84,+23,+37.86198,-109.70561,00.8,09,040,3,2022-06-18
042177,22,169,06,00,74,+21,+37.86283,-109.70549,01.1,08,038,3,2022-06-18
